timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-05 16:00:00-04:00,1.25,,
2026-05-07 16:00:00-04:00,0.3,0.26,-14.13
2026-02-12 16:00:00-05:00,0.66,0.56,-15.65
2025-11-06 16:00:00-05:00,2.32,2.21,-4.76
2025-08-06 16:00:00-04:00,0.94,1.03,9.41
2025-05-01 16:00:00-04:00,0.24,0.24,
2025-02-13 16:00:00-05:00,0.58,0.73,25.14
2024-11-07 16:00:00-05:00,2.13,2.13,-0.23
2024-08-06 16:00:00-04:00,0.91,0.86,-5.66
2024-05-08 16:00:00-04:00,0.23,0.41,77.09
2024-02-13 16:00:00-05:00,0.7,-0.55,-178.56
2023-11-01 16:00:00-04:00,2.1,6.63,215.68
2023-08-03 16:00:00-04:00,0.78,0.98,26.19
2023-05-09 16:00:00-04:00,0.15,0.18,16.86
2023-02-14 16:00:00-05:00,0.27,0.48,79.76
2022-11-01 16:00:00-04:00,1.5,1.79,19.42
2022-08-02 16:00:00-04:00,0.43,0.56,30.53
2022-05-03 16:00:00-04:00,-0.3,-0.03,89.99
2022-02-15 16:00:00-05:00,-0.03,0.08,416.84
2021-11-04 16:00:00-04:00,0.83,1.23,48.83
2021-08-12 16:00:00-04:00,-0.27,-0.11,59.16
2021-05-14 17:00:00-04:00,-1.16,-1.95,-67.99
2021-02-26 16:00:00-05:00,-2.78,-10.81,-288.43
