timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-28 16:00:00-04:00,2.43,,
2026-04-28 16:00:00-04:00,2.46,2.5,1.47
2026-02-09 16:00:00-05:00,2.57,2.98,15.83
2025-10-27 16:00:00-04:00,2.25,2.77,22.87
2025-07-29 16:00:00-04:00,2.3,2.58,12.21
2025-04-29 16:00:00-04:00,1.31,1.54,17.21
2025-02-10 16:00:00-05:00,1.8,2.26,25.46
2024-10-30 16:00:00-04:00,2.1,2.56,22.16
2024-07-30 16:00:00-04:00,2.21,2.57,16.46
2024-04-29 16:00:00-04:00,2.09,2.45,17.23
2024-02-14 16:00:00-05:00,2.01,2.49,23.85
2023-10-30 16:00:00-04:00,1.57,2.31,47.0
2023-07-26 16:00:00-04:00,1.59,1.92,21.12
2023-04-26 16:00:00-04:00,1.45,1.73,19.33
2023-02-13 16:00:00-05:00,1.34,2.14,60.3
2022-10-26 16:00:00-04:00,0.18,0.28,52.9
2022-07-27 16:00:00-04:00,1.07,1.34,24.66
2022-04-27 16:00:00-04:00,1.07,1.1,2.57
2022-02-09 16:00:00-05:00,0.99,1.27,28.05
2021-10-27 16:00:00-04:00,0.35,0.74,114.22
2021-07-28 16:00:00-04:00,0.84,1.0,19.68
2021-04-27 17:00:00-04:00,0.45,0.59,32.05
2021-02-09 16:00:00-05:00,0.38,0.56,48.97
2020-10-29 16:00:00-04:00,0.17,0.29,69.35
2020-07-29 16:00:00-04:00,-0.17,0.04,123.36
