timestamp,eps_estimate,eps_reported,surprise_pct
2026-09-10 16:00:00-04:00,6.08,,
2026-06-11 16:00:00-04:00,5.81,5.96,2.5
2026-03-12 16:00:00-04:00,5.87,6.06,3.18
2025-12-10 16:00:00-05:00,5.4,5.5,1.9
2025-09-11 16:00:00-04:00,5.18,5.31,2.48
2025-06-12 16:00:00-04:00,4.97,5.06,1.71
2025-03-12 16:00:00-04:00,4.97,5.08,2.17
2024-12-11 16:00:00-05:00,4.67,4.81,3.01
2024-09-12 16:00:00-04:00,4.54,4.65,2.49
2024-06-13 16:00:00-04:00,4.4,4.48,1.92
2024-03-14 16:00:00-04:00,4.38,4.48,2.23
2023-12-13 16:00:00-05:00,4.14,4.27,3.17
2023-09-14 16:00:00-04:00,3.98,4.1,3.06
2023-06-15 16:00:00-04:00,3.79,3.91,3.22
2023-03-15 16:00:00-04:00,3.68,3.8,3.25
2022-12-15 16:00:00-05:00,3.5,3.6,2.72
2022-09-15 08:00:00-04:00,3.34,3.4,1.66
2022-06-16 16:00:00-04:00,3.31,3.35,1.31
2022-03-22 16:00:00-04:00,3.34,3.37,0.78
2021-12-16 08:00:00-05:00,3.2,3.2,0.04
2021-09-21 16:00:00-04:00,3.02,3.11,3.11
2021-06-17 16:00:00-04:00,2.82,3.03,7.55
2021-03-23 16:00:00-04:00,2.79,3.14,12.68
2020-12-10 08:00:00-05:00,2.66,2.81,5.66
2020-09-15 16:00:00-04:00,2.41,2.57,6.56
