timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-19 08:00:00-04:00,3.32,,
2026-05-20 07:00:00-04:00,2.91,3.09,6.22
2026-02-18 07:00:00-05:00,2.31,2.46,6.55
2025-11-25 07:00:00-05:00,2.23,2.26,1.13
2025-08-20 07:00:00-04:00,1.95,2.05,5.33
2025-05-22 07:00:00-04:00,1.7,1.85,9.14
2025-02-19 07:00:00-05:00,1.54,1.63,5.6
2024-11-26 07:00:00-05:00,1.64,1.67,1.88
2024-08-21 07:00:00-04:00,1.51,1.58,4.83
2024-05-22 07:00:00-04:00,1.27,1.4,10.34
2024-02-21 07:00:00-05:00,1.71,1.73,1.43
2023-11-21 07:00:00-05:00,2.02,2.01,-0.38
2023-08-23 07:00:00-04:00,2.52,2.49,-1.16
2023-05-24 07:00:00-04:00,2.76,2.83,2.67
2023-02-15 07:00:00-05:00,2.6,2.75,5.67
2022-11-22 07:00:00-05:00,2.59,2.73,5.51
2022-08-17 07:00:00-04:00,2.43,2.52,3.62
2022-05-18 07:00:00-04:00,2.11,2.4,13.69
2022-02-16 07:00:00-05:00,1.79,1.94,8.48
2021-11-23 07:00:00-05:00,1.7,1.73,1.9
2021-08-18 07:00:00-04:00,1.61,1.72,6.53
2021-05-19 07:00:00-04:00,1.45,1.54,6.04
2021-02-17 08:00:00-05:00,1.32,1.44,8.98
2020-11-24 08:00:00-05:00,1.33,1.44,8.66
2020-08-19 08:00:00-04:00,1.29,1.36,5.73
