timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-04 08:00:00-04:00,1.34,,
2026-05-05 06:00:00-04:00,0.66,0.71,7.8
2026-02-03 06:00:00-05:00,0.8,0.87,9.17
2025-11-04 06:00:00-05:00,0.85,0.92,7.91
2025-08-05 07:00:00-04:00,0.8,0.93,16.82
2025-05-06 07:00:00-04:00,0.67,0.7,4.46
2025-02-04 07:00:00-05:00,1.15,1.14,-0.75
2024-11-18 16:00:00-05:00,1.09,1.09,-0.02
2024-07-30 07:00:00-04:00,1.24,1.03,-16.84
2024-04-30 07:00:00-04:00,1.37,1.46,6.74
2024-03-12 07:00:00-04:00,1.43,1.36,-5.02
2023-10-24 07:00:00-04:00,1.53,1.63,6.34
2023-07-25 07:00:00-04:00,1.59,1.89,19.15
2023-04-25 07:00:00-04:00,1.78,2.09,17.35
2023-01-26 07:00:00-05:00,1.65,1.93,16.95
2022-10-25 07:00:00-04:00,1.41,1.86,31.54
2022-07-26 07:00:00-04:00,1.72,2.15,24.96
2022-04-26 07:00:00-04:00,1.41,1.9,34.75
2022-01-25 07:00:00-05:00,1.37,1.5,9.53
2021-10-26 07:00:00-04:00,0.89,0.97,8.95
2021-07-27 07:00:00-04:00,1.04,1.33,28.43
2021-04-27 07:00:00-04:00,1.06,1.39,31.65
2021-01-26 07:00:00-05:00,1.09,1.21,10.59
2020-10-29 16:00:00-04:00,0.72,0.89,23.48
2020-07-29 16:00:00-04:00,0.51,0.85,67.17
