timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-27 16:00:00-04:00,3.12,,
2026-05-28 16:00:00-04:00,2.84,2.99,5.15
2026-02-26 16:00:00-05:00,2.64,2.85,7.81
2025-11-25 16:00:00-05:00,2.5,2.67,6.89
2025-08-28 16:00:00-04:00,2.45,2.62,7.01
2025-05-22 16:00:00-04:00,2.15,2.29,6.67
2025-02-27 16:00:00-05:00,2.14,2.29,7.01
2024-11-26 16:00:00-05:00,2.12,2.17,2.42
2024-08-29 16:00:00-04:00,2.0,2.15,7.28
2024-06-10 16:00:00-04:00,1.77,1.87,5.69
2024-02-29 16:00:00-05:00,1.95,2.09,7.29
2023-11-21 16:00:00-05:00,1.99,2.07,3.97
2023-08-23 16:00:00-04:00,1.73,1.91,10.66
2023-05-25 16:00:00-04:00,1.56,1.55,-0.55
2023-02-23 16:00:00-05:00,1.81,1.86,2.64
2022-11-22 16:00:00-05:00,1.7,1.7,-0.09
2022-08-24 16:00:00-04:00,1.57,1.65,4.97
2022-05-26 16:00:00-04:00,1.34,1.43,6.94
2022-02-24 16:00:00-05:00,1.44,1.5,4.07
2021-11-23 16:00:00-05:00,1.26,1.33,5.83
2021-08-25 16:00:00-04:00,1.12,1.21,8.1
2021-05-27 16:00:00-04:00,0.94,1.03,9.43
2021-02-25 16:00:00-05:00,1.07,1.18,9.9
2020-11-24 16:00:00-05:00,0.96,1.04,8.87
2020-08-25 16:00:00-04:00,0.9,0.98,9.45
