timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-30 16:00:00-04:00,0.49,,
2026-05-05 16:00:00-04:00,0.37,0.77,108.27
2026-03-02 16:00:00-05:00,0.61,0.81,33.04
2025-11-04 16:00:00-05:00,0.77,0.75,-2.1
2025-07-31 18:00:00-04:00,0.4,0.51,28.96
2025-05-01 17:00:00-04:00,0.33,0.27,-17.83
2025-02-28 06:00:00-05:00,0.35,0.54,56.45
2024-10-31 16:00:00-04:00,0.64,0.71,11.06
2024-08-01 16:00:00-04:00,0.37,0.38,1.84
2024-05-02 17:00:00-04:00,0.34,0.5,46.49
2024-02-26 17:00:00-05:00,0.67,0.73,9.17
2023-11-02 17:00:00-04:00,0.54,0.6,11.13
2023-08-03 17:00:00-04:00,0.24,0.21,-12.56
2023-05-04 16:00:00-04:00,0.22,0.22,-1.71
2023-02-27 06:00:00-05:00,0.46,0.49,5.57
2022-11-04 06:00:00-04:00,0.53,0.63,18.04
2022-08-04 17:00:00-04:00,0.31,0.34,8.49
2022-05-05 17:00:00-04:00,0.27,0.21,-21.43
2022-02-24 17:00:00-05:00,0.43,0.45,4.91
2021-11-03 18:00:00-04:00,0.43,0.5,15.43
2021-08-04 16:00:00-04:00,0.29,0.31,7.34
2021-05-06 06:00:00-04:00,0.3,0.28,-6.72
2021-02-25 06:00:00-05:00,0.44,0.48,8.72
2020-11-06 06:00:00-05:00,0.43,0.42,-2.28
2020-08-06 06:00:00-04:00,0.24,0.25,4.47
