timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-06 16:00:00-04:00,1.94,,
2026-04-30 16:00:00-04:00,1.88,2.11,11.96
2026-02-10 16:00:00-05:00,1.9,1.96,3.06
2025-11-04 16:00:00-05:00,1.71,2.2,28.5
2025-08-06 16:00:00-04:00,1.69,1.98,17.24
2025-05-01 16:00:00-04:00,0.97,1.16,20.17
2025-02-11 16:00:00-05:00,1.23,1.3,5.97
2024-11-04 16:00:00-05:00,1.3,0.71,-45.24
2024-07-31 16:00:00-04:00,1.3,1.16,-10.88
2024-05-01 16:00:00-04:00,1.59,1.74,9.65
2024-02-13 16:00:00-05:00,1.64,1.79,9.19
2023-11-01 17:00:00-04:00,1.48,1.61,8.66
2023-08-01 16:00:00-04:00,1.58,1.75,10.85
2023-05-04 16:00:00-04:00,1.42,1.63,14.47
2023-02-15 16:00:00-05:00,1.28,1.36,6.28
2022-11-01 16:00:00-04:00,0.52,0.66,26.76
2022-08-08 16:00:00-04:00,1.14,1.19,3.94
2022-05-03 16:00:00-04:00,1.17,1.3,11.23
2022-02-16 16:00:00-05:00,1.18,1.58,33.44
2021-11-04 16:00:00-04:00,0.89,0.97,9.59
2021-08-05 16:00:00-04:00,1.2,1.52,26.69
2021-05-06 16:00:00-04:00,0.98,1.05,7.36
2021-02-16 16:00:00-05:00,0.93,0.94,1.19
2020-11-05 16:00:00-05:00,0.55,0.81,45.99
2020-08-03 16:00:00-04:00,0.56,0.66,17.99
