timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 16:00:00-04:00,3.08,,
2026-05-06 16:00:00-04:00,1.31,2.95,124.6
2026-02-11 16:00:00-05:00,-0.49,-0.53,-8.6
2025-11-05 16:00:00-05:00,-0.88,-0.19,78.33
2025-07-30 16:00:00-04:00,-0.81,0.11,113.51
2025-04-30 16:00:00-04:00,-0.68,-0.18,73.52
2025-02-12 16:00:00-05:00,-0.67,-1.09,-63.0
2024-11-06 16:00:00-05:00,-0.48,-1.55,-221.72
2024-07-31 16:00:00-04:00,0.46,0.04,-91.27
2024-05-01 16:00:00-04:00,0.23,0.26,11.7
2024-02-14 16:00:00-05:00,1.11,1.85,66.72
2023-11-01 16:00:00-04:00,3.74,2.74,-26.71
2023-08-02 16:00:00-04:00,4.52,7.33,62.22
2023-05-03 16:00:00-04:00,7.04,10.32,46.59
2023-02-15 16:00:00-05:00,8.37,8.62,3.02
2022-11-02 16:00:00-04:00,6.99,7.5,7.29
2022-08-03 16:00:00-04:00,3.25,3.45,6.02
2022-05-04 16:00:00-04:00,1.65,2.38,43.87
2022-02-16 16:00:00-05:00,0.99,1.01,1.85
2021-11-03 16:00:00-04:00,0.77,1.05,37.09
2021-08-04 16:00:00-04:00,0.83,0.89,6.79
2021-05-05 16:00:00-04:00,0.8,1.1,38.01
2021-02-17 16:00:00-05:00,1.12,1.17,4.47
2020-11-04 16:00:00-05:00,0.76,1.09,43.7
2020-08-05 16:00:00-04:00,0.72,0.86,19.35
