timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-05 16:00:00-04:00,5.04,,
2026-04-29 16:00:00-04:00,7.24,10.65,47.01
2026-02-04 16:00:00-05:00,10.21,14.37,40.74
2025-11-05 16:00:00-05:00,7.57,13.95,84.4
2025-07-30 16:00:00-04:00,3.87,7.76,100.72
2025-04-30 16:00:00-04:00,2.53,3.53,39.33
2025-02-05 16:00:00-05:00,6.15,7.07,14.96
2024-10-30 16:00:00-04:00,1.93,4.39,128.05
2024-07-31 16:00:00-04:00,0.36,1.61,346.5
2024-05-01 16:00:00-04:00,3.94,5.13,30.29
2024-02-07 16:00:00-05:00,3.94,5.82,47.88
2023-11-01 16:00:00-04:00,0.49,0.81,63.67
2023-08-01 16:00:00-04:00,-3.96,-4.42,-11.56
2023-05-03 16:00:00-04:00,-1.01,-1.3,-28.27
2023-02-01 16:00:00-05:00,-1.36,-1.36,0.07
2022-11-02 16:00:00-04:00,-1.59,-1.56,1.74
2022-08-03 16:00:00-04:00,-1.15,-0.76,34.19
2022-05-04 16:00:00-04:00,2.95,2.58,-12.57
2022-02-02 16:00:00-05:00,2.77,2.75,-0.83
2021-11-03 16:00:00-04:00,1.74,0.73,-58.07
2021-08-04 16:00:00-04:00,3.17,3.79,19.46
2021-05-05 16:00:00-04:00,3.94,6.11,55.07
2021-02-03 16:00:00-05:00,3.82,5.87,53.62
2020-11-04 16:00:00-05:00,1.76,2.94,67.12
2020-08-04 16:00:00-04:00,1.62,2.46,52.13
