timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-23 08:00:00-04:00,2.21,,
2026-04-28 06:00:00-04:00,1.9,1.8,-5.09
2026-02-17 06:00:00-05:00,1.98,1.94,-2.01
2025-10-23 06:00:00-04:00,2.24,2.3,2.54
2025-07-24 06:00:00-04:00,1.99,2.04,2.67
2025-04-24 06:00:00-04:00,1.67,1.86,11.19
2025-02-18 06:00:00-05:00,1.75,1.86,6.27
2024-10-24 05:00:00-04:00,1.98,2.16,9.03
2024-07-24 06:00:00-04:00,1.84,1.96,6.3
2024-04-25 05:00:00-04:00,1.45,1.55,7.21
2024-02-20 05:00:00-05:00,1.58,1.68,6.09
2023-10-31 05:00:00-04:00,1.74,1.94,11.36
2023-07-26 05:00:00-04:00,1.72,1.76,2.6
2023-04-26 05:00:00-04:00,1.36,1.58,16.6
2023-02-22 05:00:00-05:00,1.38,1.6,16.28
2022-10-27 05:00:00-04:00,1.48,1.64,11.1
2022-07-28 05:00:00-04:00,1.33,1.37,2.71
2022-04-26 05:00:00-04:00,0.98,1.07,9.04
2022-02-15 05:00:00-05:00,1.01,1.11,9.96
2021-10-21 05:00:00-04:00,1.27,1.56,23.2
2021-07-22 05:00:00-04:00,1.3,1.32,1.34
2021-04-22 05:00:00-04:00,1.03,1.2,16.92
2021-02-16 05:00:00-05:00,1.19,1.49,25.25
2020-10-22 05:00:00-04:00,1.22,1.67,36.39
2020-07-23 05:00:00-04:00,0.83,0.92,10.84
