timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-28 08:00:00-04:00,1.55,,
2026-04-28 07:00:00-04:00,1.57,1.84,17.04
2026-02-24 07:00:00-05:00,1.47,1.75,19.05
2025-10-28 07:00:00-04:00,1.65,1.82,10.06
2025-07-29 07:00:00-04:00,1.66,0.78,-53.01
2025-04-29 07:00:00-04:00,1.57,1.04,-33.66
2025-02-25 07:00:00-05:00,1.98,2.62,32.02
2024-10-29 07:00:00-04:00,1.55,0.89,-42.59
2024-07-30 07:00:00-04:00,1.58,1.92,21.86
2024-04-30 07:00:00-04:00,1.76,1.96,11.15
2024-02-27 07:00:00-05:00,0.94,0.25,-73.86
2023-10-26 07:00:00-04:00,1.13,1.88,65.94
2023-07-27 07:00:00-04:00,1.08,1.02,-5.65
2023-04-26 07:00:00-04:00,1.11,0.72,-34.93
2023-02-23 07:00:00-05:00,1.05,-1.47,-240.14
2022-10-27 07:00:00-04:00,1.05,1.8,71.28
2022-07-28 07:00:00-04:00,0.96,1.95,102.94
2022-04-27 07:00:00-04:00,1.08,1.56,43.78
2022-02-24 07:00:00-05:00,1.19,0.77,-35.62
2021-10-28 07:00:00-04:00,1.21,1.58,30.72
2021-07-29 07:00:00-04:00,1.25,1.65,32.36
2021-04-29 07:00:00-04:00,1.25,1.3,3.89
2021-02-25 07:00:00-05:00,1.25,0.82,-34.39
2020-10-29 07:00:00-04:00,1.09,1.12,2.42
2020-07-30 07:00:00-04:00,1.04,1.0,-4.17
