timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-04 16:00:00-04:00,0.88,,
2026-05-05 16:00:00-04:00,0.81,0.87,7.73
2026-02-12 16:00:00-05:00,0.76,0.82,8.17
2025-11-04 16:00:00-05:00,0.71,0.75,4.98
2025-08-05 16:00:00-04:00,0.65,0.73,12.38
2025-05-06 16:00:00-04:00,0.59,0.65,9.98
2025-02-18 16:00:00-05:00,0.57,0.65,13.96
2024-11-07 16:00:00-05:00,0.52,0.6,15.31
2024-07-30 16:00:00-04:00,0.48,0.53,8.37
2024-05-07 16:00:00-04:00,0.44,0.5,14.31
2024-02-12 16:00:00-05:00,0.43,0.52,21.6
2023-10-30 16:00:00-04:00,0.39,0.46,16.12
2023-07-31 16:00:00-04:00,0.36,0.4,9.89
2023-05-01 16:00:00-04:00,0.34,0.36,6.26
2023-02-13 16:00:00-05:00,0.3,0.35,16.19
2022-10-31 16:00:00-04:00,0.26,0.31,19.48
2022-08-01 16:00:00-04:00,0.23,0.27,17.24
2022-05-02 16:00:00-04:00,0.2,0.21,3.91
2022-02-14 16:00:00-05:00,0.18,0.21,11.77
2021-11-01 16:00:00-04:00,0.17,0.19,9.0
2021-08-02 16:00:00-04:00,0.16,0.17,6.76
2021-05-04 16:00:00-04:00,0.15,0.16,5.16
2021-02-18 16:00:00-05:00,0.15,0.16,4.3
2020-11-02 16:00:00-05:00,0.14,0.15,8.91
2020-08-04 16:00:00-04:00,0.12,0.13,8.18
