timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-30 08:00:00-04:00,3.33,,
2026-04-30 06:00:00-04:00,3.06,3.2,4.54
2026-01-30 06:00:00-05:00,3.04,3.16,3.93
2025-11-06 06:00:00-05:00,3.38,3.39,0.22
2025-07-31 06:00:00-04:00,2.99,3.09,3.23
2025-05-01 06:00:00-04:00,2.83,2.69,-4.86
2025-02-06 06:00:00-05:00,2.84,2.86,0.67
2024-11-07 06:00:00-05:00,3.47,3.56,2.49
2024-08-01 06:00:00-04:00,3.04,3.2,5.3
2024-04-30 06:00:00-04:00,2.7,2.85,5.48
2024-02-05 06:00:00-05:00,3.0,2.82,-6.14
2023-11-07 06:00:00-05:00,3.11,3.15,1.17
2023-08-03 06:00:00-04:00,2.91,2.98,2.24
2023-05-09 06:00:00-04:00,2.66,2.74,3.11
2023-02-02 06:00:00-05:00,2.7,2.64,-2.25
2022-11-03 06:00:00-04:00,2.76,2.89,4.64
2022-08-04 06:00:00-04:00,2.61,2.62,0.43
2022-05-05 06:00:00-04:00,2.37,2.38,0.27
2022-02-04 06:00:00-05:00,2.5,2.52,0.97
2021-11-04 06:00:00-04:00,2.49,2.51,0.97
2021-08-09 06:00:00-04:00,2.38,2.31,-2.77
2021-05-10 06:00:00-04:00,2.11,2.08,-1.64
2021-02-04 06:00:00-05:00,2.2,2.12,-3.48
2020-11-11 06:00:00-05:00,2.21,2.19,-0.7
2020-07-23 06:00:00-04:00,1.98,2.01,1.63
