timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-04 08:00:00-04:00,2.21,,
2026-05-06 06:00:00-04:00,1.88,1.94,2.92
2026-02-09 06:00:00-05:00,2.04,2.47,21.28
2025-11-04 06:00:00-05:00,1.9,2.17,14.21
2025-08-05 06:00:00-04:00,1.84,1.92,4.16
2025-05-02 06:00:00-04:00,1.84,1.82,-1.31
2025-02-04 06:00:00-05:00,1.89,2.22,17.47
2024-11-05 06:00:00-05:00,1.72,1.85,7.3
2024-08-01 06:00:00-04:00,1.75,1.64,-6.44
2024-05-02 06:00:00-04:00,1.78,1.72,-3.33
2024-02-08 06:00:00-05:00,1.72,1.91,10.77
2023-11-01 06:00:00-04:00,1.76,1.71,-2.95
2023-08-03 06:00:00-04:00,1.65,1.7,3.02
2023-05-09 16:00:00-04:00,1.47,1.42,-3.79
2023-02-09 06:00:00-05:00,1.5,1.42,-5.33
2022-11-02 06:00:00-04:00,1.23,1.33,8.36
2022-08-04 06:00:00-04:00,1.02,0.94,-7.9
2022-05-05 06:00:00-04:00,1.04,1.52,46.65
2022-02-11 07:00:00-05:00,1.09,1.05,-3.93
2021-11-02 07:00:00-04:00,1.1,1.71,55.39
2021-08-04 07:00:00-04:00,0.71,1.14,60.13
2021-05-04 07:00:00-04:00,0.58,0.66,13.67
2021-02-03 07:00:00-05:00,0.5,0.72,42.67
2020-10-29 07:00:00-04:00,0.49,0.47,-3.57
2020-07-30 13:00:00-04:00,0.47,0.46,-3.04
