timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-30 08:00:00-04:00,1.42,,
2026-05-05 06:00:00-04:00,1.58,1.71,7.91
2026-02-02 06:00:00-05:00,1.86,1.86,0.21
2025-10-30 06:00:00-04:00,1.83,2.17,18.78
2025-07-31 06:00:00-04:00,1.83,2.12,15.78
2025-05-01 06:00:00-04:00,1.53,1.69,10.12
2025-02-06 06:00:00-05:00,1.65,1.75,6.25
2024-10-31 06:00:00-04:00,1.66,1.83,9.99
2024-08-01 06:00:00-04:00,1.42,1.58,11.03
2024-05-02 06:00:00-04:00,1.0,1.16,15.96
2024-01-31 06:00:00-05:00,1.33,1.4,4.91
2023-11-02 06:00:00-04:00,1.23,1.3,5.79
2023-08-03 06:00:00-04:00,1.02,1.25,22.09
2023-05-04 06:00:00-04:00,0.91,0.91,0.4
2023-02-02 06:00:00-05:00,1.18,1.27,7.52
2022-11-03 06:00:00-04:00,1.0,1.28,28.19
2022-08-04 06:00:00-04:00,0.61,0.22,-63.64
2022-05-05 06:00:00-04:00,0.62,0.63,2.42
2022-02-03 06:00:00-05:00,0.56,0.56,0.3
2021-11-04 06:00:00-04:00,0.32,0.38,20.5
2021-08-05 06:00:00-04:00,0.64,0.6,-6.49
2021-05-06 06:00:00-04:00,0.78,1.06,35.24
2021-02-03 06:00:00-05:00,1.01,1.13,12.02
2020-10-29 06:00:00-04:00,0.83,1.13,36.08
2020-07-30 06:00:00-04:00,-1.34,-1.1,17.9
