timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-31 08:00:00-04:00,1.32,,
2026-05-01 06:00:00-04:00,1.33,1.24,-6.57
2026-02-05 06:00:00-05:00,1.69,1.45,-14.0
2025-11-03 06:00:00-05:00,1.14,1.19,3.99
2025-08-01 06:00:00-04:00,1.09,1.03,-5.83
2025-05-05 06:00:00-04:00,0.94,1.09,15.91
2025-02-05 06:00:00-05:00,1.3,1.23,-5.18
2024-11-01 06:00:00-04:00,0.94,0.95,0.85
2024-08-02 06:00:00-04:00,0.98,0.99,0.61
2024-05-02 06:00:00-04:00,0.92,0.8,-13.01
2024-02-08 06:00:00-05:00,1.1,1.21,10.43
2023-10-31 06:00:00-04:00,0.87,0.83,-4.24
2023-08-01 06:00:00-04:00,0.85,0.9,5.66
2023-04-28 07:00:00-04:00,0.81,0.71,-12.22
2023-02-09 06:00:00-05:00,1.08,1.21,12.17
2022-10-27 06:00:00-04:00,0.74,0.75,1.72
2022-07-28 06:00:00-04:00,0.69,0.74,6.93
2022-04-28 06:00:00-04:00,0.67,0.65,-2.65
2022-02-11 06:00:00-05:00,0.72,0.85,18.35
2021-10-27 06:00:00-04:00,0.64,0.62,-2.58
2021-07-29 06:00:00-04:00,0.52,0.64,23.29
2021-04-29 06:00:00-04:00,0.51,0.46,-10.41
2021-02-11 06:00:00-05:00,0.45,0.54,20.95
2020-10-28 06:00:00-04:00,0.43,0.48,11.22
2020-08-05 06:00:00-04:00,0.38,0.39,3.48
