timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-30 08:00:00-04:00,2.47,,
2026-04-28 06:00:00-04:00,2.43,2.47,1.81
2026-02-04 06:00:00-05:00,2.39,2.45,2.65
2025-10-22 06:00:00-04:00,2.33,2.37,1.91
2025-07-22 06:00:00-04:00,2.39,2.42,1.07
2025-04-23 06:00:00-04:00,2.32,2.3,-0.66
2025-01-30 06:00:00-05:00,2.41,2.38,-1.33
2024-10-23 06:00:00-04:00,2.34,2.33,-0.42
2024-07-23 06:00:00-04:00,2.26,2.42,6.91
2024-04-24 06:00:00-04:00,2.15,2.29,6.49
2024-01-31 06:00:00-05:00,2.16,2.16,-0.2
2023-10-25 06:00:00-04:00,2.1,2.1,0.01
2023-07-25 06:00:00-04:00,2.08,1.92,-7.68
2023-04-26 06:00:00-04:00,1.65,1.7,3.15
2023-02-02 06:00:00-05:00,2.02,1.65,-18.5
2022-10-26 06:00:00-04:00,2.47,2.46,-0.52
2022-07-27 06:00:00-04:00,2.37,2.64,11.55
2022-04-26 06:00:00-04:00,2.17,2.4,10.62
2022-02-02 06:00:00-05:00,2.12,2.13,0.28
2021-10-27 06:00:00-04:00,2.03,2.14,5.43
2021-07-28 06:00:00-04:00,2.04,2.25,10.46
2021-04-28 06:00:00-04:00,2.02,2.4,18.93
2021-02-03 06:00:00-05:00,2.11,2.27,7.56
2020-10-21 06:00:00-04:00,1.5,1.91,27.24
2020-07-27 06:00:00-04:00,1.14,1.27,11.45
