timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 16:00:00-04:00,1.59,,
2026-04-29 16:00:00-04:00,1.09,1.01,-7.4
2026-02-18 16:00:00-05:00,1.27,1.24,-2.29
2025-10-29 16:00:00-04:00,1.88,1.94,2.99
2025-07-30 16:00:00-04:00,1.53,1.48,-3.06
2025-04-30 16:00:00-04:00,1.07,1.05,-1.5
2025-02-19 16:00:00-05:00,1.12,1.22,9.2
2024-10-30 16:00:00-04:00,1.84,1.8,-2.07
2024-07-31 16:00:00-04:00,1.46,1.42,-2.41
2024-05-01 16:00:00-04:00,0.98,0.95,-2.86
2024-02-14 16:00:00-05:00,0.83,0.88,6.18
2023-11-01 16:00:00-04:00,1.66,1.66,0.15
2023-07-26 16:00:00-04:00,1.3,1.44,10.97
2023-04-26 16:00:00-04:00,0.92,0.91,-0.83
2023-02-15 16:00:00-05:00,0.79,0.81,2.7
2022-10-31 16:00:00-04:00,1.51,1.63,7.91
2022-07-27 16:00:00-04:00,1.15,1.2,4.06
2022-04-27 16:00:00-04:00,0.77,0.87,13.47
2022-02-16 16:00:00-05:00,0.85,0.85,-0.06
2021-11-02 16:00:00-04:00,1.52,1.53,0.36
2021-08-02 16:00:00-04:00,1.08,1.14,5.41
2021-05-03 16:00:00-04:00,0.77,0.73,-4.63
2021-02-24 16:00:00-05:00,0.79,0.78,-1.18
2020-11-04 16:00:00-05:00,1.38,1.46,5.58
2020-08-05 16:00:00-04:00,0.97,0.97,0.4
