timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-24 08:00:00-04:00,4.41,,
2026-04-23 07:00:00-04:00,3.99,4.28,7.18
2026-01-30 07:00:00-05:00,3.55,3.53,-0.66
2025-10-17 07:00:00-04:00,3.98,4.14,4.02
2025-07-18 07:00:00-04:00,3.88,4.08,5.09
2025-04-17 07:00:00-04:00,3.47,3.64,4.8
2025-01-24 07:00:00-05:00,3.03,3.04,0.17
2024-10-18 07:00:00-04:00,3.28,3.49,6.49
2024-07-19 07:00:00-04:00,3.26,4.15,27.11
2024-04-19 10:00:00-04:00,2.98,3.33,11.68
2024-01-26 07:00:00-05:00,2.65,2.62,-1.01
2023-10-20 07:00:00-04:00,2.95,3.3,11.87
2023-07-21 07:00:00-04:00,2.82,2.89,2.64
2023-04-20 07:00:00-04:00,2.67,2.4,-10.02
2023-01-27 07:00:00-05:00,2.24,2.07,-7.45
2022-10-21 13:00:00-04:00,2.41,2.47,2.29
2022-07-22 07:00:00-04:00,2.41,2.57,6.64
2022-04-22 07:00:00-04:00,2.47,2.73,10.73
2022-01-25 07:00:00-05:00,1.84,2.18,18.71
2021-10-22 07:00:00-04:00,1.75,2.27,29.38
2021-07-23 07:00:00-04:00,1.63,2.8,72.14
2021-04-23 07:00:00-04:00,1.61,2.74,69.77
2021-01-26 07:00:00-05:00,1.3,1.76,35.17
2020-10-23 07:00:00-04:00,1.35,1.3,-3.84
2020-07-24 07:00:00-04:00,-0.06,0.29,572.54
