timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-04 08:00:00-04:00,0.98,,
2026-05-05 06:00:00-04:00,0.84,0.94,11.31
2026-02-03 06:00:00-05:00,0.9,0.91,1.51
2025-11-04 06:00:00-05:00,1.02,1.02,-0.17
2025-08-05 06:00:00-04:00,0.87,0.9,3.26
2025-05-06 06:00:00-04:00,0.7,0.76,8.69
2025-02-04 06:00:00-05:00,0.81,0.84,3.72
2024-10-31 06:00:00-04:00,0.86,0.91,6.02
2024-08-01 06:00:00-04:00,0.7,0.74,5.19
2024-04-26 11:00:00-04:00,0.54,0.68,25.66
2024-02-01 06:00:00-05:00,0.75,0.78,3.59
2023-11-02 06:00:00-04:00,0.81,0.83,2.78
2023-08-03 06:00:00-04:00,0.61,0.61,0.18
2023-05-04 06:00:00-04:00,0.51,0.69,36.05
2023-02-02 06:00:00-05:00,0.55,0.44,-20.0
2022-11-03 06:00:00-04:00,0.8,0.75,-5.9
2022-08-04 06:00:00-04:00,0.9,0.82,-8.85
2022-05-05 05:00:00-04:00,0.83,0.77,-7.4
2022-01-27 06:00:00-05:00,0.9,0.97,7.88
2021-11-04 06:00:00-04:00,0.98,0.94,-4.35
2021-08-05 06:00:00-04:00,0.83,0.86,4.06
2021-05-06 06:00:00-04:00,0.67,0.72,6.91
2021-02-04 06:00:00-05:00,0.78,0.81,3.22
2020-11-05 06:00:00-05:00,0.77,0.89,15.7
2020-08-06 06:00:00-04:00,0.56,0.65,15.58
