timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-27 08:00:00-04:00,1.34,,
2026-05-28 07:00:00-04:00,1.23,1.28,4.32
2026-03-03 07:00:00-05:00,2.47,2.61,5.83
2025-11-25 07:00:00-05:00,1.31,1.4,6.65
2025-08-28 07:00:00-04:00,1.22,1.28,4.51
2025-05-29 07:00:00-04:00,1.1,1.15,5.02
2025-03-04 07:00:00-05:00,2.41,2.58,7.21
2024-11-26 07:00:00-05:00,1.29,1.26,-2.45
2024-08-29 07:00:00-04:00,1.16,1.34,15.65
2024-05-30 07:00:00-04:00,1.07,1.2,11.77
2024-02-29 07:00:00-05:00,2.5,2.72,8.67
2023-11-21 07:00:00-05:00,1.2,1.29,7.92
2023-08-29 07:00:00-04:00,1.07,1.22,13.55
2023-05-25 07:00:00-04:00,1.09,1.15,5.48
2023-03-02 07:00:00-05:00,2.14,2.61,22.05
2022-11-22 07:00:00-05:00,1.02,1.38,34.8
2022-08-30 07:00:00-04:00,1.29,1.54,19.08
2022-05-24 07:00:00-04:00,1.55,1.57,0.99
2022-03-03 07:00:00-05:00,2.71,2.73,0.9
2021-11-23 07:00:00-05:00,1.97,2.08,5.51
2021-08-24 07:00:00-04:00,1.89,2.98,57.9
2021-05-27 07:00:00-04:00,1.41,2.23,57.89
2021-02-25 07:00:00-05:00,3.45,3.48,0.87
2020-11-24 07:00:00-05:00,1.72,2.06,19.47
2020-08-25 07:00:00-04:00,1.09,1.71,56.48
