timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-31 08:00:00-04:00,0.65,,
2026-04-28 08:00:00-04:00,0.55,0.71,28.64
2026-01-30 08:00:00-05:00,0.55,0.7,27.53
2025-11-07 08:00:00-05:00,0.59,0.67,14.03
2025-08-01 08:00:00-04:00,0.5,0.49,-2.31
2025-05-02 08:00:00-04:00,0.47,0.47,-0.62
2025-01-31 08:00:00-05:00,0.53,0.59,11.43
2024-11-04 08:00:00-05:00,0.59,0.59,-0.72
2024-07-26 08:00:00-04:00,0.57,0.6,5.43
2024-04-29 08:00:00-04:00,0.57,0.56,-1.32
2024-01-29 08:00:00-05:00,0.58,0.65,11.8
2023-10-31 08:00:00-04:00,0.59,0.84,42.35
2023-07-28 08:00:00-04:00,0.59,0.63,5.9
2023-05-01 08:00:00-04:00,0.56,0.61,8.29
2023-01-30 08:00:00-05:00,0.54,0.51,-4.96
2022-11-01 08:00:00-04:00,0.67,0.78,16.47
2022-07-28 08:00:00-04:00,0.73,0.82,12.22
2022-05-03 08:00:00-04:00,0.81,0.96,17.82
2022-02-01 08:00:00-05:00,0.89,1.08,21.69
2021-11-01 08:00:00-04:00,0.86,1.26,45.9
2021-08-03 08:00:00-04:00,0.78,0.96,22.89
2021-05-04 08:00:00-04:00,0.75,0.79,5.23
2021-02-02 08:00:00-05:00,0.7,0.73,3.55
2020-10-27 08:00:00-04:00,0.68,0.56,-17.8
2020-07-28 08:00:00-04:00,0.55,0.7,28.15
