timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-27 08:00:00-04:00,0.37,,
2026-06-04 08:00:00-04:00,0.32,0.12,-62.65
2026-03-04 08:00:00-05:00,0.47,0.58,24.68
2025-12-04 08:00:00-05:00,0.48,0.47,-1.46
2025-08-28 08:00:00-04:00,0.37,0.36,-1.86
2025-06-05 08:00:00-04:00,0.34,0.31,-9.77
2025-03-05 08:00:00-05:00,0.46,0.57,23.36
2024-12-05 08:00:00-05:00,0.49,0.55,12.24
2024-08-29 08:00:00-04:00,0.46,0.41,-10.24
2024-06-05 08:00:00-04:00,0.42,0.56,34.1
2024-03-06 08:00:00-05:00,0.56,0.6,7.23
2023-12-06 08:00:00-05:00,0.51,0.5,-1.37
2023-08-30 08:00:00-04:00,0.53,0.48,-9.41
2023-06-07 08:00:00-04:00,0.43,0.43,0.66
2023-03-08 08:00:00-05:00,0.48,0.21,-55.93
2022-12-07 08:00:00-05:00,0.55,0.47,-14.16
2022-08-31 08:00:00-04:00,0.47,0.52,10.02
2022-06-08 08:00:00-04:00,0.26,0.31,18.13
2022-03-03 07:00:00-05:00,0.48,0.54,13.35
2021-12-08 07:00:00-05:00,0.53,0.49,-6.86
2021-09-01 07:00:00-04:00,0.4,0.4,1.23
2021-06-09 07:00:00-04:00,0.33,0.25,-24.69
2021-03-03 07:00:00-05:00,0.43,0.45,4.45
2020-12-08 07:00:00-05:00,0.51,0.5,-2.66
2020-09-01 20:00:00-04:00,0.3,0.4,31.94
