timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 16:00:00-04:00,2.44,,
2026-04-28 16:00:00-04:00,1.08,1.14,5.67
2026-02-18 16:00:00-05:00,1.95,1.95,0.27
2025-10-28 16:00:00-04:00,3.84,3.98,3.73
2025-07-29 16:00:00-04:00,2.02,2.22,9.93
2025-04-29 16:00:00-04:00,0.7,0.99,41.23
2025-02-20 16:00:00-05:00,1.44,1.66,15.24
2024-10-30 16:00:00-04:00,3.1,3.36,8.42
2024-08-01 17:00:00-04:00,1.55,1.68,8.28
2024-05-02 16:00:00-04:00,0.57,0.82,44.24
2024-02-22 16:00:00-05:00,1.2,1.28,6.48
2023-11-02 16:00:00-04:00,2.72,2.89,6.49
2023-08-03 16:00:00-04:00,1.17,1.5,29.01
2023-05-04 16:00:00-04:00,0.43,0.46,8.0
2023-02-23 16:00:00-05:00,0.88,0.99,11.83
2022-11-02 16:00:00-04:00,1.99,2.12,6.38
2022-08-03 16:00:00-04:00,0.71,0.76,7.99
2022-05-04 16:00:00-04:00,0.05,0.16,193.84
2022-02-23 16:00:00-05:00,0.54,0.63,17.08
2021-11-03 16:00:00-04:00,1.32,1.51,14.14
2021-08-04 16:00:00-04:00,-0.09,-0.1,-18.34
2021-05-05 16:00:00-04:00,-0.24,-0.21,13.87
2021-02-24 16:00:00-05:00,-0.17,-0.02,86.5
2020-11-05 17:00:00-05:00,0.57,0.49,-13.83
2020-08-06 17:00:00-04:00,-0.46,-0.43,6.65
