timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-30 08:00:00-04:00,1.28,,
2026-04-30 07:00:00-04:00,0.37,0.27,-27.61
2026-02-17 06:00:00-05:00,1.28,1.12,-12.25
2025-10-30 07:00:00-04:00,1.72,1.88,9.06
2025-07-31 07:00:00-04:00,2.34,2.38,1.57
2025-05-01 07:00:00-04:00,1.42,1.51,6.36
2025-02-20 07:00:00-05:00,2.21,2.31,4.66
2024-11-05 07:00:00-05:00,3.02,3.07,1.65
2024-08-06 07:00:00-04:00,3.08,3.5,13.68
2024-05-07 07:00:00-04:00,2.33,2.65,13.77
2024-02-22 07:00:00-05:00,2.58,3.55,37.67
2023-11-01 07:00:00-04:00,3.92,4.24,8.19
2023-08-02 07:00:00-04:00,2.59,3.89,50.24
2023-05-03 07:00:00-04:00,1.56,2.96,90.26
2023-02-28 07:00:00-05:00,2.31,3.21,39.19
2022-11-08 07:00:00-05:00,3.3,5.2,57.52
2022-08-01 07:00:00-04:00,3.04,6.26,105.7
2022-05-10 07:00:00-04:00,2.02,3.9,93.07
2022-03-01 07:00:00-05:00,1.89,2.78,47.48
2021-11-04 07:00:00-04:00,1.63,3.39,107.78
2021-08-05 07:00:00-04:00,1.87,2.76,47.78
2021-05-06 07:00:00-04:00,0.72,1.1,52.78
2021-02-26 07:00:00-05:00,0.9,1.26,39.3
2020-10-29 16:00:00-04:00,0.64,0.82,28.13
2020-07-30 16:00:00-04:00,0.35,0.67,91.93
