timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-15 08:00:00-04:00,2.2,,
2026-04-16 06:00:00-04:00,1.93,2.25,16.54
2026-01-13 06:00:00-05:00,1.9,2.02,6.3
2025-10-16 06:00:00-04:00,1.76,1.88,6.71
2025-07-15 06:00:00-04:00,1.76,1.94,10.09
2025-04-11 06:00:00-04:00,1.49,1.58,5.93
2025-01-15 06:00:00-05:00,1.57,1.72,9.81
2024-10-11 06:00:00-04:00,1.42,1.52,6.88
2024-07-12 06:00:00-04:00,1.43,1.51,5.77
2024-04-16 06:00:00-04:00,1.19,1.29,8.48
2024-01-12 06:00:00-05:00,1.12,1.28,14.03
2023-10-17 06:00:00-04:00,1.14,1.27,11.61
2023-07-18 06:00:00-04:00,1.22,1.38,13.47
2023-04-18 06:00:00-04:00,1.11,1.13,1.72
2023-01-13 06:00:00-05:00,1.24,1.3,4.71
2022-10-17 06:00:00-04:00,1.08,1.21,11.65
2022-07-15 06:00:00-04:00,1.11,1.15,3.53
2022-04-18 03:00:00-04:00,0.86,0.94,9.89
2022-01-18 06:00:00-05:00,1.01,1.04,2.69
2021-10-19 06:00:00-04:00,1.0,1.04,3.5
2021-07-15 06:00:00-04:00,1.0,1.13,12.66
2021-04-16 06:00:00-04:00,0.86,0.97,12.26
2021-01-20 06:00:00-05:00,0.91,0.96,5.23
2020-10-16 06:00:00-04:00,0.94,0.98,3.81
2020-07-15 06:00:00-04:00,0.92,1.01,9.58
