timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-27 16:00:00-04:00,1.08,,
2026-04-27 17:00:00-04:00,1.36,1.39,2.3
2026-01-26 17:00:00-05:00,0.9,0.93,3.34
2025-10-27 17:00:00-04:00,0.93,1.05,12.91
2025-07-28 17:00:00-04:00,0.99,1.03,4.55
2025-04-28 17:00:00-04:00,1.3,1.29,-0.53
2025-01-27 17:00:00-05:00,0.77,0.86,12.09
2024-10-28 17:00:00-04:00,0.88,0.91,3.8
2024-07-22 17:00:00-04:00,0.88,0.93,6.07
2024-04-22 17:00:00-04:00,1.07,1.14,6.61
2024-01-22 19:00:00-05:00,0.53,0.58,10.01
2023-10-23 17:00:00-04:00,0.62,0.71,13.92
2023-07-24 17:00:00-04:00,0.59,0.68,14.6
2023-04-24 18:00:00-04:00,0.81,0.84,3.36
2023-01-23 17:00:00-05:00,0.46,0.5,9.87
2022-10-24 17:00:00-04:00,0.6,0.5,-16.7
2022-07-25 17:00:00-04:00,0.49,0.51,4.74
2022-04-25 17:00:00-04:00,0.75,0.78,3.76
2022-01-24 17:00:00-05:00,0.39,0.42,7.69
2021-10-25 17:00:00-04:00,0.53,0.58,9.43
2021-07-26 17:00:00-04:00,0.4,0.49,21.48
2021-04-26 17:00:00-04:00,0.57,0.7,22.66
2021-01-25 17:00:00-05:00,0.29,0.32,9.05
2020-10-26 17:00:00-04:00,0.43,0.52,21.12
2020-07-27 17:00:00-04:00,0.28,0.34,19.39
