timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-18 08:00:00-04:00,2.41,,
2026-04-30 06:00:00-04:00,2.79,3.17,13.7
2026-02-05 06:00:00-05:00,2.37,2.63,11.17
2025-10-30 06:00:00-04:00,2.17,2.55,17.6
2025-08-12 06:00:00-04:00,2.03,2.08,2.36
2025-05-01 06:00:00-04:00,2.15,2.35,9.36
2025-01-30 06:00:00-05:00,1.76,1.93,9.39
2024-11-01 06:00:00-04:00,1.62,1.88,15.88
2024-08-14 06:00:00-04:00,1.73,1.84,6.27
2024-05-02 06:00:00-04:00,1.95,2.08,6.63
2024-02-01 08:00:00-05:00,1.6,1.82,14.0
2023-11-03 06:00:00-04:00,1.41,1.73,22.98
2023-08-15 06:00:00-04:00,1.48,1.55,4.86
2023-05-04 06:00:00-04:00,1.49,1.74,16.77
2023-02-02 06:00:00-05:00,1.14,1.32,15.33
2022-11-04 06:00:00-04:00,0.97,1.2,24.12
2022-08-11 06:00:00-04:00,1.18,1.05,-11.22
2022-05-05 06:00:00-04:00,1.53,1.45,-4.96
2022-02-03 06:00:00-05:00,1.23,1.27,3.1
2021-11-09 06:00:00-05:00,1.35,1.29,-4.3
2021-08-05 06:00:00-04:00,1.2,0.77,-35.7
2021-05-06 06:00:00-04:00,1.56,1.53,-1.83
2021-02-05 06:00:00-05:00,1.45,1.74,20.32
2020-11-05 06:00:00-05:00,1.14,1.51,32.69
2020-08-06 06:00:00-04:00,0.89,1.04,16.65
