timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-04 08:00:00-04:00,6.16,,
2026-04-30 06:00:00-04:00,4.64,5.54,19.3
2026-01-29 06:00:00-05:00,4.71,5.16,9.51
2025-10-29 06:00:00-04:00,4.52,4.95,9.43
2025-08-05 06:00:00-04:00,4.9,4.72,-3.73
2025-04-30 06:00:00-04:00,4.34,4.25,-2.19
2025-01-30 06:00:00-05:00,5.03,5.14,2.25
2024-10-30 06:00:00-04:00,5.35,5.17,-3.44
2024-08-06 06:00:00-04:00,5.54,5.99,8.14
2024-04-25 06:00:00-04:00,5.13,5.6,9.13
2024-02-05 06:00:00-05:00,4.75,5.23,10.06
2023-10-31 06:00:00-04:00,4.79,5.52,15.18
2023-08-01 06:00:00-04:00,4.58,5.55,21.24
2023-04-27 06:00:00-04:00,3.79,4.91,29.5
2023-01-31 06:00:00-05:00,4.03,3.86,-4.19
2022-10-27 06:00:00-04:00,3.17,3.95,24.78
2022-08-02 06:00:00-04:00,3.02,3.18,5.44
2022-04-28 06:00:00-04:00,2.6,2.88,10.63
2022-01-28 06:00:00-05:00,2.26,2.69,18.85
2021-10-28 06:00:00-04:00,2.2,2.66,20.8
2021-07-30 06:00:00-04:00,2.41,2.6,7.99
2021-04-29 06:00:00-04:00,1.94,2.87,47.97
2021-01-29 06:00:00-05:00,1.49,2.12,42.46
2020-10-27 06:00:00-04:00,1.18,1.34,13.97
2020-07-31 06:00:00-04:00,0.72,1.03,43.33
