timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 08:00:00-04:00,1.49,,
2026-04-23 06:00:00-04:00,1.13,1.61,42.05
2026-02-12 06:00:00-05:00,2.68,2.73,1.99
2025-10-23 06:00:00-04:00,1.46,1.61,10.57
2025-07-29 06:00:00-04:00,1.07,1.19,11.16
2025-04-24 07:00:00-04:00,0.76,0.86,12.71
2025-02-13 06:00:00-05:00,2.23,2.32,3.87
2024-10-24 06:00:00-04:00,1.06,1.2,13.1
2024-07-25 06:00:00-04:00,0.71,0.81,14.28
2024-05-03 06:00:00-04:00,0.69,0.78,12.66
2024-02-15 06:00:00-05:00,1.18,1.38,16.71
2023-10-27 06:00:00-04:00,0.67,0.72,8.16
2023-07-27 07:00:00-04:00,0.76,0.82,7.76
2023-04-27 06:00:00-04:00,0.86,0.92,7.34
2023-02-23 06:00:00-05:00,1.2,1.33,10.94
2022-10-27 06:00:00-04:00,1.3,1.13,-12.77
2022-08-04 06:00:00-04:00,1.4,1.83,30.97
2022-05-05 06:00:00-04:00,1.08,1.39,29.12
2022-02-24 06:00:00-05:00,1.82,2.19,20.26
2021-10-28 06:00:00-04:00,1.2,1.39,15.57
2021-07-29 06:00:00-04:00,0.78,1.36,74.62
2021-04-29 06:00:00-04:00,0.67,0.86,28.21
2021-02-23 06:00:00-05:00,0.94,1.45,54.41
2020-10-29 06:00:00-04:00,0.42,0.73,74.38
2020-07-31 06:00:00-04:00,0.38,0.35,-7.75
