timestamp,eps_estimate,eps_reported,surprise_pct
2026-09-28 08:00:00-04:00,1.35,,
2026-06-23 09:00:00-04:00,0.34,0.41,21.08
2026-03-27 09:00:00-04:00,0.18,0.2,8.94
2025-12-19 09:00:00-05:00,0.25,0.34,38.64
2025-09-29 09:00:00-04:00,1.32,1.43,8.54
2025-06-24 09:00:00-04:00,0.24,0.35,45.31
2025-03-21 09:00:00-04:00,0.02,0.13,485.06
2024-12-20 09:00:00-05:00,0.07,0.14,93.99
2024-09-30 09:00:00-04:00,1.15,1.27,10.0
2024-06-25 09:00:00-04:00,-0.02,0.11,692.67
2024-03-27 09:00:00-04:00,-0.18,-0.14,22.13
2023-12-21 09:00:00-05:00,-0.13,-0.07,44.27
2023-09-29 09:00:00-04:00,0.74,0.86,16.06
2023-06-26 09:00:00-04:00,-0.34,-0.31,8.14
2023-03-27 09:00:00-04:00,-0.6,-0.55,8.83
2022-12-21 09:00:00-05:00,-0.89,-0.85,3.96
2022-09-30 09:00:00-04:00,-0.14,-0.58,-307.09
2022-06-24 09:00:00-04:00,-1.14,-1.64,-43.13
2022-03-22 09:00:00-04:00,-1.25,-1.66,-32.48
2021-12-20 09:00:00-05:00,-1.49,-1.72,-15.65
2021-09-30 11:00:00-04:00,-1.46,-1.75,-20.22
2021-06-28 08:00:00-04:00,-1.61,-1.8,-11.86
2021-04-07 12:00:00-04:00,-1.6,-1.79,-11.53
2021-01-26 10:00:00-05:00,-1.95,-2.06,-5.72
2020-10-08 08:00:00-04:00,-2.03,-2.19,-8.0
