timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-27 16:00:00-04:00,2.06,,
2026-04-27 16:00:00-04:00,1.89,1.96,3.98
2026-02-17 16:00:00-05:00,1.91,1.99,4.07
2025-10-27 16:00:00-04:00,1.79,1.93,7.85
2025-07-28 16:00:00-04:00,1.56,1.65,6.0
2025-04-28 16:00:00-04:00,1.5,1.57,4.75
2025-02-18 16:00:00-05:00,1.82,1.88,3.16
2024-10-28 16:00:00-04:00,1.44,1.64,13.73
2024-07-22 16:00:00-04:00,1.23,1.28,4.27
2024-04-22 16:00:00-04:00,1.13,1.17,3.47
2024-02-12 16:00:00-05:00,1.33,1.38,3.68
2023-10-23 16:00:00-04:00,1.22,1.26,3.56
2023-07-24 16:00:00-04:00,1.19,1.22,2.41
2023-04-24 16:00:00-04:00,1.25,1.29,2.97
2023-02-13 16:00:00-05:00,0.92,0.96,4.53
2022-10-24 16:00:00-04:00,0.96,1.06,10.28
2022-07-25 16:00:00-04:00,0.97,1.08,11.8
2022-04-25 16:00:00-04:00,1.0,1.17,16.87
2022-02-22 16:00:00-05:00,0.78,0.82,4.59
2021-10-25 16:00:00-04:00,0.75,0.8,6.73
2021-07-26 16:00:00-04:00,0.76,0.86,13.55
2021-04-26 16:00:00-04:00,0.74,0.83,11.6
2021-02-22 16:00:00-05:00,0.74,0.83,12.07
2020-10-19 16:00:00-04:00,0.61,0.7,15.69
2020-07-20 16:00:00-04:00,0.52,0.66,26.92
