timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-06 08:00:00-04:00,2.41,,
2026-05-11 07:00:00-04:00,2.6,2.74,5.3
2026-02-24 06:00:00-05:00,2.25,2.3,2.41
2025-11-07 07:00:00-05:00,3.12,3.04,-2.57
2025-08-07 06:00:00-04:00,1.83,1.91,4.24
2025-05-06 06:00:00-04:00,2.21,2.14,-3.1
2025-02-18 06:00:00-05:00,2.14,2.44,14.06
2024-11-04 06:00:00-05:00,2.68,2.74,2.3
2024-08-06 06:00:00-04:00,1.69,1.68,-0.44
2024-05-09 06:00:00-04:00,1.29,1.82,41.36
2024-02-27 05:00:00-05:00,2.17,1.51,-30.24
2023-11-06 06:00:00-05:00,1.67,1.99,19.23
2023-08-03 06:00:00-04:00,0.78,1.45,85.9
2023-05-04 06:00:00-04:00,0.95,0.39,-59.13
2023-02-16 06:00:00-05:00,0.27,0.17,-36.33
2022-11-08 06:00:00-05:00,0.77,0.54,-30.46
2022-08-04 06:00:00-04:00,0.64,1.66,158.13
2022-05-12 06:00:00-04:00,1.01,1.81,80.32
2022-02-25 14:00:00-05:00,1.19,1.19,
