timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-05 16:00:00-04:00,5.81,,
2026-05-06 16:00:00-04:00,2.66,2.89,8.66
2026-02-18 16:00:00-05:00,2.47,3.06,23.91
2025-11-05 16:00:00-05:00,2.07,2.19,5.59
2025-08-06 16:00:00-04:00,2.47,2.39,-3.43
2025-05-07 16:00:00-04:00,1.5,1.98,31.56
2025-02-19 16:00:00-05:00,1.51,1.79,18.13
2024-10-30 16:00:00-04:00,1.16,1.55,34.29
2024-08-07 12:00:00-04:00,1.91,2.3,20.47
2024-05-01 17:00:00-04:00,1.62,1.03,-36.26
2024-02-14 16:00:00-05:00,1.56,1.58,1.55
2023-11-01 16:00:00-04:00,1.01,1.14,12.62
2023-08-02 16:00:00-04:00,2.15,2.71,26.26
2023-05-01 16:00:00-04:00,2.54,2.55,0.45
2023-02-15 16:00:00-05:00,4.2,4.55,8.36
2022-11-02 16:00:00-04:00,3.5,2.18,-37.75
2022-08-01 16:00:00-04:00,5.79,6.15,6.15
2022-05-04 16:00:00-04:00,4.39,4.11,-6.39
2022-02-15 16:00:00-05:00,3.67,3.27,-10.86
2021-11-03 19:00:00-04:00,0.95,0.68,-28.48
2021-08-09 16:00:00-04:00,1.58,1.15,-27.3
2021-05-05 16:00:00-04:00,0.56,0.7,25.62
2021-02-17 16:00:00-05:00,0.15,0.42,182.28
2020-11-04 16:00:00-05:00,0.05,-0.1,-305.97
2020-08-05 16:00:00-04:00,0.59,0.96,62.7
