timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-16 08:00:00-04:00,1.24,,
2026-04-16 06:00:00-04:00,1.09,1.13,3.73
2026-01-21 06:00:00-05:00,1.11,1.13,2.24
2025-10-15 06:00:00-04:00,1.03,1.05,2.27
2025-07-17 06:00:00-04:00,0.88,0.92,4.13
2025-04-16 06:00:00-04:00,0.75,0.77,2.68
2025-01-17 06:00:00-05:00,0.83,0.85,2.3
2024-10-16 06:00:00-04:00,0.79,0.79,-0.24
2024-07-17 03:00:00-04:00,0.79,0.82,3.5
2024-04-17 06:00:00-04:00,0.76,0.79,4.52
2024-01-17 06:00:00-05:00,0.84,0.85,1.16
2023-10-18 06:00:00-04:00,0.91,0.89,-2.67
2023-07-19 06:00:00-04:00,1.0,1.04,4.29
2023-04-19 06:00:00-04:00,1.13,1.1,-2.45
2023-01-17 07:00:00-05:00,1.32,1.32,0.29
2022-10-19 07:00:00-04:00,1.27,1.3,2.35
2022-07-19 03:00:00-04:00,1.02,1.14,11.91
2022-04-19 06:00:00-04:00,0.91,1.07,17.1
2022-01-19 06:00:00-05:00,1.13,1.26,11.84
2021-10-20 06:00:00-04:00,1.15,1.22,5.71
2021-07-20 06:00:00-04:00,1.14,1.46,28.55
2021-04-16 06:00:00-04:00,0.98,1.41,44.46
2021-01-20 06:00:00-05:00,0.88,1.04,17.88
2020-10-16 06:00:00-04:00,0.75,0.73,-3.3
2020-07-17 08:00:00-04:00,0.15,0.55,256.38
