timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 16:00:00-04:00,1.52,,
2026-04-29 16:00:00-04:00,1.23,1.35,9.64
2026-01-28 16:00:00-05:00,1.13,1.23,9.22
2025-10-29 16:00:00-04:00,1.3,1.4,7.37
2025-07-30 16:00:00-04:00,1.16,1.29,11.61
2025-04-30 16:00:00-04:00,1.05,1.17,11.38
2025-01-29 16:00:00-05:00,1.11,1.21,9.25
2024-10-30 16:00:00-04:00,1.15,1.28,11.45
2024-07-31 16:00:00-04:00,0.96,1.15,20.15
2024-05-01 16:00:00-04:00,0.63,0.86,36.65
2024-01-31 16:00:00-05:00,0.81,0.5,-37.92
2023-11-01 16:00:00-04:00,0.8,0.84,4.4
2023-08-02 16:00:00-04:00,0.91,0.9,-1.26
2023-04-26 16:00:00-04:00,0.98,0.98,-0.11
2023-02-01 16:00:00-05:00,1.34,1.03,-23.41
2022-11-02 07:00:00-04:00,2.17,1.78,-18.0
2022-07-27 16:00:00-04:00,1.99,2.67,34.08
2022-04-27 16:00:00-04:00,1.55,2.05,32.23
2022-02-02 07:00:00-05:00,1.86,1.74,-6.43
2021-10-26 16:00:00-04:00,1.42,1.85,29.98
2021-07-27 16:00:00-04:00,1.34,1.44,7.39
2021-04-27 16:00:00-04:00,0.99,1.28,29.51
2021-01-26 16:00:00-05:00,0.98,1.08,10.55
2020-10-27 16:00:00-04:00,0.98,1.0,2.25
2020-07-28 16:00:00-04:00,0.61,1.06,74.26
