timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-24 08:00:00-04:00,10.18,,
2026-04-24 07:00:00-04:00,10.24,9.31,-9.05
2026-01-30 07:00:00-05:00,9.73,10.42,7.1
2025-10-31 07:00:00-04:00,9.32,8.34,-10.5
2025-07-25 07:00:00-04:00,9.77,9.18,-6.06
2025-04-25 07:00:00-04:00,8.37,8.42,0.56
2025-01-31 07:00:00-05:00,9.14,10.1,10.5
2024-11-01 07:00:00-04:00,8.49,8.82,3.87
2024-07-26 07:00:00-04:00,7.9,8.49,7.47
2024-04-26 07:00:00-04:00,7.87,7.55,-4.09
2024-02-02 07:00:00-05:00,8.84,7.07,-19.99
2023-10-27 07:00:00-04:00,8.11,8.25,1.71
2023-07-28 07:00:00-04:00,8.2,8.05,-1.79
2023-04-28 07:00:00-04:00,7.55,6.65,-11.93
2023-01-27 07:00:00-05:00,8.77,7.69,-12.33
2022-10-28 07:00:00-04:00,8.38,7.38,-11.97
2022-07-29 07:00:00-04:00,7.12,8.8,23.57
2022-04-29 07:00:00-04:00,6.66,6.9,3.65
2022-01-28 07:00:00-05:00,7.08,8.93,26.22
2021-10-29 07:00:00-04:00,5.75,6.5,13.09
2021-07-30 07:00:00-04:00,4.77,5.29,10.92
2021-04-30 07:00:00-04:00,4.18,4.11,-1.79
2021-01-29 07:00:00-05:00,4.94,5.96,20.66
2020-10-30 07:00:00-04:00,3.25,4.13,27.32
2020-07-31 07:00:00-04:00,2.48,3.63,46.44
