timestamp,eps_estimate,eps_reported,surprise_pct
2026-09-09 08:00:00-04:00,1.72,,
2026-06-04 07:00:00-04:00,1.46,1.64,12.34
2026-03-05 07:00:00-05:00,1.17,1.35,15.55
2025-12-11 07:00:00-05:00,0.77,0.91,18.24
2025-09-04 07:00:00-04:00,0.53,0.67,27.56
2025-06-05 07:00:00-04:00,0.52,0.42,-18.89
2025-03-11 07:00:00-04:00,0.41,0.64,54.71
2024-12-12 07:00:00-05:00,0.65,0.54,-17.47
2024-09-04 07:00:00-04:00,0.26,0.35,34.46
2024-06-06 07:00:00-04:00,0.15,0.27,80.14
2024-03-07 07:00:00-05:00,0.48,0.66,38.76
2023-12-07 07:00:00-05:00,0.69,0.75,8.74
2023-08-31 07:00:00-04:00,0.51,0.59,16.14
2023-06-06 07:00:00-04:00,0.61,0.74,20.7
2023-03-06 07:00:00-05:00,0.36,0.64,77.35
2022-12-08 07:00:00-05:00,0.08,0.61,684.06
2022-09-01 07:00:00-04:00,0.34,0.33,-1.95
2022-06-02 07:00:00-04:00,0.54,0.5,-7.36
2022-03-07 07:00:00-05:00,0.45,0.47,4.13
2021-12-09 07:00:00-05:00,0.85,0.85,-0.58
2021-09-02 07:00:00-04:00,0.79,0.92,16.36
2021-06-03 07:00:00-04:00,0.48,0.62,28.6
2021-03-04 07:00:00-05:00,0.45,0.52,16.16
2020-12-10 07:00:00-05:00,0.63,0.6,-4.36
2020-09-02 20:00:00-04:00,0.82,1.06,28.55
