timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-27 16:00:00-04:00,1.73,,
2026-04-27 16:00:00-04:00,1.94,2.1,8.24
2026-02-09 16:00:00-05:00,2.89,3.37,16.6
2025-10-27 16:00:00-04:00,2.06,2.85,38.43
2025-07-28 16:00:00-04:00,1.39,1.97,42.0
2025-04-28 16:00:00-04:00,-0.61,-0.24,60.66
2025-02-10 16:00:00-05:00,1.88,3.14,67.09
2024-10-24 16:00:00-04:00,1.43,5.2,262.62
2024-07-25 16:00:00-04:00,0.96,1.29,34.83
2024-04-25 16:00:00-04:00,1.71,1.72,0.75
2024-02-06 16:00:00-05:00,1.93,2.28,18.2
2023-10-26 16:00:00-04:00,1.14,1.66,45.44
2023-07-27 16:00:00-04:00,0.7,1.21,73.62
2023-04-27 16:00:00-04:00,0.72,0.89,24.33
2023-02-06 16:00:00-05:00,1.28,1.27,-0.45
2022-10-31 16:00:00-04:00,0.67,0.73,8.91
2022-07-27 16:00:00-04:00,1.04,0.65,-37.5
2022-04-28 16:00:00-04:00,1.45,1.58,9.27
2022-02-15 16:00:00-05:00,1.36,1.97,45.07
2021-10-27 16:00:00-04:00,0.91,1.28,40.4
2021-07-28 16:00:00-04:00,0.98,1.79,83.21
2021-04-28 16:00:00-04:00,1.1,1.37,24.85
2021-02-10 16:00:00-05:00,1.2,1.61,34.67
2020-10-26 16:00:00-04:00,0.39,0.39,-0.15
2020-07-27 16:00:00-04:00,0.39,0.44,12.2
