timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-30 16:00:00-04:00,1.66,,
2026-04-30 16:00:00-04:00,1.54,1.64,6.16
2026-02-03 16:00:00-05:00,1.43,1.39,-3.04
2025-11-03 16:00:00-05:00,0.78,0.85,9.23
2025-07-31 16:00:00-04:00,2.21,2.87,29.75
2025-05-05 16:00:00-04:00,1.56,1.45,-6.9
2025-02-03 16:00:00-05:00,1.4,1.55,10.68
2024-10-30 16:00:00-04:00,1.39,1.86,33.57
2024-08-01 16:00:00-04:00,1.56,1.82,16.43
2024-04-30 16:00:00-04:00,1.37,1.71,25.15
2024-02-01 16:00:00-05:00,1.1,2.16,95.83
2023-11-01 16:00:00-04:00,-0.23,0.49,312.25
2023-08-02 16:00:00-04:00,1.18,1.67,41.09
2023-05-02 16:00:00-04:00,1.22,1.51,23.37
2023-02-02 16:00:00-05:00,0.66,0.98,49.37
2022-11-01 16:00:00-04:00,0.78,0.93,19.65
2022-08-03 16:00:00-04:00,0.93,0.93,0.09
2022-05-02 16:00:00-04:00,0.96,1.31,36.28
2022-02-03 16:00:00-05:00,0.85,0.66,-21.96
2021-11-01 16:00:00-04:00,1.02,1.21,19.05
2021-08-03 06:00:00-04:00,1.31,0.95,-27.74
2021-04-30 06:00:00-04:00,1.46,1.62,11.11
2021-02-04 06:00:00-05:00,1.75,2.03,15.74
2020-11-02 06:00:00-05:00,2.25,3.22,43.22
2020-08-03 06:00:00-04:00,1.99,2.41,21.18
