timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-22 08:00:00-04:00,2.99,,
2026-04-22 07:00:00-04:00,3.37,3.36,-0.25
2026-02-04 07:00:00-05:00,2.74,2.77,0.99
2025-10-22 07:00:00-04:00,2.63,2.68,1.98
2025-07-23 07:00:00-04:00,2.92,2.96,1.45
2025-04-23 07:00:00-04:00,2.81,2.8,-0.31
2025-02-12 07:00:00-05:00,2.45,2.52,3.05
2024-10-23 07:00:00-04:00,2.65,2.68,0.96
2024-07-24 07:00:00-04:00,2.53,2.56,1.04
2024-04-24 07:00:00-04:00,2.45,2.5,2.0
2024-02-14 07:00:00-05:00,2.28,2.37,3.87
2023-10-25 07:00:00-04:00,2.22,2.25,1.27
2023-07-26 07:00:00-04:00,2.19,2.3,4.99
2023-04-26 07:00:00-04:00,2.38,2.42,1.86
2023-02-08 07:00:00-05:00,1.88,1.92,2.05
2022-10-26 07:00:00-04:00,1.94,1.98,2.24
2022-07-27 07:00:00-04:00,1.93,1.97,1.86
2022-04-27 07:00:00-04:00,2.0,2.11,5.33
2022-02-09 07:00:00-05:00,1.64,1.66,1.24
2021-10-27 07:00:00-04:00,1.55,1.6,2.99
2021-07-28 07:00:00-04:00,1.61,1.64,2.05
2021-04-28 07:00:00-04:00,1.76,1.79,1.9
2021-02-10 07:00:00-05:00,1.36,1.39,1.9
2020-10-28 07:00:00-04:00,1.44,1.38,-3.92
2020-07-29 07:00:00-04:00,1.64,1.63,-0.39
