timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 16:00:00-04:00,0.32,,
2026-04-29 16:00:00-04:00,0.24,0.24,1.4
2026-02-03 16:00:00-05:00,0.24,0.25,4.89
2025-10-29 16:00:00-04:00,0.29,0.29,0.87
2025-07-23 16:00:00-04:00,0.33,0.33,1.26
2025-04-23 16:00:00-04:00,0.28,0.29,4.72
2025-02-04 16:00:00-05:00,0.25,0.25,1.45
2024-10-29 16:00:00-04:00,0.25,0.27,6.57
2024-07-24 16:00:00-04:00,0.32,0.34,7.04
2024-04-24 16:00:00-04:00,0.23,0.27,14.5
2024-02-06 16:00:00-05:00,0.19,0.21,6.52
2023-10-26 16:00:00-04:00,0.21,0.23,6.86
2023-07-26 16:00:00-04:00,0.25,0.25,2.98
2023-04-25 16:00:00-04:00,0.18,0.21,17.28
2023-02-07 16:00:00-05:00,0.18,0.17,-6.75
2022-10-25 16:00:00-04:00,0.18,0.19,3.48
2022-07-26 16:00:00-04:00,0.18,0.19,2.84
2022-04-26 16:00:00-04:00,0.11,0.11,1.14
2022-02-08 16:00:00-05:00,0.11,0.11,5.43
2021-10-21 16:00:00-04:00,0.13,0.14,10.97
2021-07-20 16:00:00-04:00,0.13,0.15,14.64
2021-04-21 16:00:00-04:00,0.1,0.11,9.25
2021-02-02 16:00:00-05:00,0.07,0.07,-6.7
2020-10-21 16:00:00-04:00,0.07,0.08,9.03
2020-07-22 16:00:00-04:00,0.01,0.01,1.27
