timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-23 08:00:00-04:00,0.37,,
2026-04-23 06:00:00-04:00,0.55,0.56,1.1
2026-02-19 06:00:00-05:00,0.45,0.45,-0.36
2025-10-23 06:00:00-04:00,0.44,0.5,12.59
2025-07-24 06:00:00-04:00,0.3,0.29,-4.56
2025-04-24 06:00:00-04:00,0.53,0.53,-0.8
2025-02-20 06:00:00-05:00,0.4,0.4,-0.32
2024-10-28 06:00:00-04:00,0.31,0.31,0.31
2024-07-30 06:00:00-04:00,0.32,0.36,11.45
2024-04-30 06:00:00-04:00,0.52,0.55,4.84
2024-02-20 06:00:00-05:00,0.32,0.32,-0.13
2023-10-26 06:00:00-04:00,0.36,0.4,12.56
2023-07-27 06:00:00-04:00,0.27,0.28,4.58
2023-04-27 06:00:00-04:00,0.46,0.5,8.3
2023-02-17 06:00:00-05:00,0.29,0.28,-2.23
2022-11-01 06:00:00-04:00,0.3,0.32,7.43
2022-08-02 06:00:00-04:00,0.27,0.31,13.69
2022-05-03 06:00:00-04:00,0.48,0.47,-2.7
2022-02-22 06:00:00-05:00,0.28,0.36,27.29
2021-11-04 06:00:00-04:00,0.28,0.33,17.73
2021-08-05 06:00:00-04:00,0.25,0.36,46.88
2021-05-06 06:00:00-04:00,0.53,0.59,10.85
2021-02-25 06:00:00-05:00,0.21,0.29,37.34
2020-11-05 06:00:00-05:00,0.3,0.34,11.81
2020-08-06 06:00:00-04:00,0.2,0.21,3.61
