timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-06 08:00:00-04:00,2.87,,
2026-04-30 07:00:00-04:00,1.69,1.89,11.55
2026-02-05 07:00:00-05:00,1.09,1.02,-6.47
2025-11-06 07:00:00-05:00,1.41,1.61,14.05
2025-08-07 07:00:00-04:00,1.36,1.42,4.71
2025-05-08 08:00:00-04:00,2.05,2.09,1.98
2025-02-06 07:00:00-05:00,1.83,1.98,7.92
2024-10-31 07:00:00-04:00,1.64,1.78,8.49
2024-08-01 07:00:00-04:00,1.95,1.98,1.67
2024-05-02 07:00:00-04:00,2.03,2.03,0.15
2024-02-08 07:00:00-05:00,2.17,2.4,10.7
2023-11-02 07:00:00-04:00,2.09,2.16,3.3
2023-08-03 07:00:00-04:00,1.96,1.84,-6.04
2023-05-04 07:00:00-04:00,2.07,2.38,15.11
2023-02-02 07:00:00-05:00,2.88,2.71,-5.91
2022-11-03 07:00:00-04:00,3.44,3.6,4.57
2022-08-04 07:00:00-04:00,3.85,3.91,1.54
2022-05-05 07:00:00-04:00,3.17,3.27,3.09
2022-02-03 07:00:00-05:00,2.19,2.27,3.44
2021-11-02 07:00:00-04:00,1.52,1.77,16.79
2021-08-03 07:00:00-04:00,1.13,1.27,12.53
2021-05-04 07:00:00-04:00,0.54,0.69,28.97
2021-02-02 07:00:00-05:00,-0.25,-0.19,23.85
2020-10-29 07:00:00-04:00,-0.31,-0.31,-0.95
2020-07-30 07:00:00-04:00,-0.58,-0.92,-59.34
