timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-05 08:00:00-04:00,4.35,,
2026-05-06 06:00:00-04:00,4.73,4.75,0.48
2026-02-04 06:00:00-05:00,4.04,4.08,0.99
2025-11-05 06:00:00-05:00,3.79,3.84,1.44
2025-08-06 06:00:00-04:00,3.84,4.0,4.24
2025-05-07 06:00:00-04:00,4.1,4.42,7.92
2025-02-05 06:00:00-05:00,3.52,3.73,5.96
2024-11-06 06:00:00-05:00,3.23,3.34,3.47
2024-07-31 06:00:00-04:00,3.22,3.34,3.75
2024-05-01 06:00:00-04:00,3.69,3.8,2.89
2024-01-31 06:00:00-05:00,2.89,3.28,13.46
2023-11-02 06:00:00-04:00,2.81,2.86,1.92
2023-08-02 06:00:00-04:00,2.83,2.92,3.35
2023-05-02 06:00:00-04:00,3.3,3.5,6.09
2023-02-01 06:00:00-05:00,2.63,2.71,2.91
2022-11-03 06:00:00-04:00,2.57,2.6,1.03
2022-08-03 06:00:00-04:00,2.56,2.62,2.35
2022-05-04 06:00:00-04:00,2.92,3.22,10.25
2022-02-02 06:00:00-05:00,2.58,2.58,0.19
2021-11-04 06:00:00-04:00,2.36,2.39,1.48
2021-08-04 06:00:00-04:00,2.04,2.16,5.93
2021-05-05 06:00:00-04:00,2.46,2.53,2.77
2021-02-04 06:00:00-05:00,1.94,2.18,12.23
2020-11-05 06:00:00-05:00,1.87,1.89,0.95
2020-08-05 07:00:00-04:00,1.59,1.85,16.23
