timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-28 16:00:00-04:00,0.29,,
2026-04-28 16:00:00-04:00,0.18,0.23,24.8
2026-02-24 16:00:00-05:00,0.27,0.31,13.82
2025-10-28 16:00:00-04:00,0.19,0.23,21.82
2025-07-22 16:00:00-04:00,0.14,0.17,23.4
2025-04-29 16:00:00-04:00,0.11,0.15,43.86
2025-02-18 16:00:00-05:00,0.23,0.26,15.63
2024-10-22 16:00:00-04:00,0.16,0.22,35.5
2024-07-23 16:00:00-04:00,0.09,0.15,63.27
2024-04-22 22:00:00-04:00,0.07,0.1,51.86
2024-02-20 16:00:00-05:00,0.32,0.33,3.95
2023-10-24 16:00:00-04:00,0.3,0.3,1.39
2023-07-25 16:00:00-04:00,0.3,0.31,4.03
2023-04-25 16:00:00-04:00,0.25,0.29,13.75
2023-02-21 16:00:00-05:00,0.34,0.38,10.29
2022-10-25 16:00:00-04:00,0.24,0.3,25.29
2022-07-26 16:00:00-04:00,0.21,0.28,34.1
2022-04-26 16:00:00-04:00,0.27,0.31,14.0
2022-02-22 16:00:00-05:00,0.29,0.35,20.46
2021-10-26 16:00:00-04:00,0.23,0.25,8.93
2021-07-27 16:00:00-04:00,0.23,0.26,14.0
2021-04-27 16:00:00-04:00,0.24,0.28,14.7
2021-02-23 16:00:00-05:00,0.24,0.28,18.03
2020-10-27 16:00:00-04:00,0.21,0.23,9.2
2020-07-28 16:00:00-04:00,0.2,0.23,16.95
