timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 08:00:00-04:00,1.38,,
2026-04-29 06:00:00-04:00,1.33,1.4,4.98
2026-02-04 06:00:00-05:00,1.32,1.35,2.02
2025-10-29 06:00:00-04:00,1.3,1.39,6.73
2025-07-30 16:00:00-04:00,1.26,1.31,3.99
2025-04-30 16:00:00-04:00,1.2,1.23,2.55
2025-02-05 16:00:00-05:00,1.13,1.21,7.55
2024-10-30 16:00:00-04:00,1.15,1.25,9.03
2024-07-31 16:00:00-04:00,1.12,1.17,4.62
2024-05-01 16:00:00-04:00,1.11,1.12,1.05
2024-02-06 16:00:00-05:00,1.04,1.18,13.94
2023-11-01 16:00:00-04:00,1.09,1.16,6.39
2023-08-02 16:00:00-04:00,0.99,1.1,11.37
2023-05-03 16:00:00-04:00,1.05,1.11,6.0
2023-02-02 16:00:00-05:00,1.03,1.01,-1.59
2022-11-02 16:00:00-04:00,1.16,1.17,0.76
2022-07-27 16:00:00-04:00,1.09,1.14,4.35
2022-05-04 16:00:00-04:00,1.04,1.08,4.16
2022-02-02 16:00:00-05:00,1.04,1.1,5.59
2021-10-27 16:00:00-04:00,1.05,1.06,1.13
2021-07-28 16:00:00-04:00,0.96,0.99,2.64
2021-05-05 16:00:00-04:00,0.94,0.97,2.89
2021-02-03 16:00:00-05:00,0.9,0.67,-25.28
2020-10-28 16:00:00-04:00,0.9,0.97,7.29
2020-07-29 16:00:00-04:00,0.69,0.82,18.03
