timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 16:00:00-04:00,0.43,,
2026-04-29 16:00:00-04:00,0.32,0.34,6.16
2026-02-18 16:00:00-05:00,0.24,0.84,258.98
2025-10-29 16:00:00-04:00,0.27,0.21,-24.13
2025-07-30 16:00:00-04:00,0.21,0.26,21.62
2025-05-07 16:00:00-04:00,0.15,0.3,102.14
2025-02-19 16:00:00-05:00,0.05,0.12,128.48
2024-10-30 16:00:00-04:00,0.06,0.23,269.09
2024-07-31 16:00:00-04:00,-0.02,0.08,424.08
2024-05-01 16:00:00-04:00,-0.15,0.05,131.12
2024-02-22 16:00:00-05:00,-0.18,-0.35,-90.67
2023-11-02 16:00:00-04:00,-0.16,-0.14,15.39
2023-07-19 06:00:00-04:00,-0.21,-0.19,8.36
2023-05-04 16:00:00-04:00,-0.38,-0.3,19.6
2023-02-23 16:00:00-05:00,-0.47,-0.63,-32.18
2022-11-03 16:00:00-04:00,-0.39,-0.53,-35.37
2022-08-04 16:00:00-04:00,-0.38,-0.47,-24.71
2022-04-20 16:00:00-04:00,-0.32,-0.58,-82.77
2022-02-24 16:00:00-05:00,-0.16,-0.2,-24.47
2021-11-04 16:00:00-04:00,-0.06,-0.08,-27.86
2021-08-05 16:00:00-04:00,-0.07,0.05,172.43
2021-05-06 16:00:00-04:00,-0.13,-0.09,30.66
2021-02-25 16:00:00-05:00,-0.1,-0.18,-82.7
2020-10-29 16:00:00-04:00,-0.06,-0.02,64.82
2020-08-05 16:00:00-04:00,-0.16,-0.12,20.08
