timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-20 08:00:00-04:00,4.69,,
2026-05-21 06:00:00-04:00,5.7,6.55,15.01
2026-02-19 06:00:00-05:00,2.1,2.42,15.42
2025-11-26 06:00:00-05:00,3.83,3.93,2.5
2025-08-14 06:00:00-04:00,4.66,4.75,1.9
2025-05-15 06:00:00-04:00,5.62,6.64,18.05
2025-02-13 06:00:00-05:00,3.25,3.19,-1.81
2024-11-21 06:00:00-05:00,3.93,4.55,15.76
2024-08-15 06:00:00-04:00,5.79,6.29,8.57
2024-05-16 06:00:00-04:00,7.91,8.53,7.86
2024-02-15 06:00:00-05:00,5.25,6.23,18.68
2023-11-22 06:00:00-05:00,7.46,8.32,11.53
2023-08-18 06:00:00-04:00,8.18,10.2,24.66
2023-05-19 06:00:00-04:00,8.47,10.1,19.25
2023-02-17 06:00:00-05:00,5.47,6.55,19.84
2022-11-23 06:00:00-05:00,7.11,7.75,9.03
2022-08-19 06:00:00-04:00,6.68,6.16,-7.74
2022-05-20 06:00:00-04:00,6.69,6.81,1.78
2022-02-18 06:00:00-05:00,2.26,2.92,29.19
2021-11-24 06:00:00-05:00,3.89,4.12,5.83
2021-08-20 06:00:00-04:00,4.58,5.32,16.23
2021-05-21 06:00:00-04:00,4.52,5.68,25.7
2021-02-19 06:00:00-05:00,2.21,3.87,75.12
2020-11-25 06:00:00-05:00,1.34,2.39,77.77
2020-08-21 06:00:00-04:00,1.25,2.57,105.4
