timestamp,eps_estimate,eps_reported,surprise_pct
2026-09-03 16:00:00-04:00,4.89,,
2026-05-28 16:00:00-04:00,2.96,4.86,63.99
2026-02-26 16:00:00-05:00,3.51,3.89,10.74
2025-11-25 16:00:00-05:00,2.48,2.59,4.55
2025-08-28 16:00:00-04:00,2.29,2.32,1.24
2025-05-29 16:00:00-04:00,1.69,1.55,-8.38
2025-02-27 16:00:00-05:00,2.52,2.68,6.42
2024-11-26 16:00:00-05:00,2.06,2.15,4.25
2024-08-29 16:00:00-04:00,1.71,1.89,10.22
2024-05-30 16:00:00-04:00,1.29,1.27,-1.92
2024-02-29 16:00:00-05:00,1.72,2.2,27.92
2023-11-30 16:00:00-05:00,1.46,1.88,29.19
2023-08-31 16:00:00-04:00,1.14,1.74,53.07
2023-06-01 15:00:00-04:00,0.85,1.31,53.67
2023-03-02 16:00:00-05:00,1.64,1.8,9.88
2022-11-21 16:00:00-05:00,1.61,2.3,43.09
2022-08-25 16:00:00-04:00,1.64,1.68,2.61
2022-05-26 16:00:00-04:00,1.4,1.84,31.17
2022-02-24 16:00:00-05:00,1.95,1.72,-11.95
2021-11-23 16:00:00-05:00,2.3,2.37,2.97
2021-08-26 16:00:00-04:00,2.04,2.24,9.76
2021-05-27 16:00:00-04:00,1.62,2.13,31.5
2021-02-25 16:00:00-05:00,2.14,2.7,26.1
2020-11-24 16:00:00-05:00,1.42,2.03,42.91
2020-08-27 16:00:00-04:00,1.4,1.92,37.49
