timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-23 08:00:00-04:00,2.72,,
2026-04-23 06:00:00-04:00,2.27,2.28,0.42
2026-01-29 06:00:00-05:00,2.49,2.51,0.97
2025-10-23 06:00:00-04:00,2.51,2.62,4.52
2025-07-24 06:00:00-04:00,2.39,2.44,2.1
2025-04-24 06:00:00-04:00,1.98,2.05,3.45
2025-01-30 06:00:00-05:00,2.08,2.2,5.94
2024-10-24 06:00:00-04:00,2.18,2.27,4.33
2024-07-25 06:00:00-04:00,2.21,2.36,6.74
2024-04-25 06:00:00-04:00,1.88,1.95,3.96
2024-02-01 06:00:00-05:00,2.43,2.45,0.94
2023-10-24 06:00:00-04:00,2.33,2.35,0.97
2023-07-25 06:00:00-04:00,2.21,2.05,-7.07
2023-04-26 06:00:00-04:00,1.93,1.94,0.72
2023-01-31 06:00:00-05:00,2.15,2.16,0.35
2022-10-20 06:00:00-04:00,2.19,2.26,3.2
2022-07-21 06:00:00-04:00,2.07,2.14,3.28
2022-04-21 06:00:00-04:00,1.83,1.9,4.07
2022-01-27 06:00:00-05:00,1.67,1.78,6.52
2021-10-19 06:00:00-04:00,1.85,1.98,6.88
2021-07-20 06:00:00-04:00,1.84,2.06,11.92
2021-04-20 06:00:00-04:00,1.47,1.81,23.43
2021-01-28 06:00:00-05:00,1.38,1.55,12.55
2020-10-20 06:00:00-04:00,1.32,1.6,21.0
2020-07-22 06:00:00-04:00,0.92,1.13,22.72
