timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-23 08:00:00-04:00,1.22,,
2026-04-23 06:00:00-04:00,-0.29,-0.14,51.7
2026-01-29 06:00:00-05:00,-0.51,-0.34,33.7
2025-10-23 07:00:00-04:00,-0.3,-0.19,36.84
2025-07-24 06:00:00-04:00,-0.17,-0.42,-146.25
2025-04-24 07:00:00-04:00,-0.01,0.02,249.81
2025-01-30 06:00:00-05:00,0.24,,-100.0
2024-10-24 06:00:00-04:00,0.47,0.47,-0.24
2024-07-25 07:00:00-04:00,0.72,0.68,-5.08
2024-04-25 07:00:00-04:00,0.45,0.56,23.19
2024-01-25 07:00:00-05:00,0.4,0.43,8.13
2023-10-24 06:00:00-04:00,0.45,0.48,7.05
2023-07-25 07:00:00-04:00,0.71,0.75,6.07
2023-04-25 07:00:00-04:00,0.37,0.58,55.13
2023-01-26 06:00:00-05:00,0.57,0.46,-19.17
2022-10-20 06:00:00-04:00,1.15,1.11,-3.44
2022-07-21 06:00:00-04:00,2.14,2.31,8.18
2022-04-21 06:00:00-04:00,2.05,2.34,14.13
2022-01-27 06:00:00-05:00,2.03,2.15,5.99
2021-10-21 06:00:00-04:00,2.56,2.75,7.26
2021-07-22 06:00:00-04:00,2.44,2.72,11.52
2021-04-22 06:00:00-04:00,1.15,1.36,18.43
2021-01-28 06:00:00-05:00,0.68,0.81,19.87
2020-10-22 06:00:00-04:00,0.31,0.5,63.81
2020-07-23 06:00:00-04:00,-0.25,-0.26,-2.58
