timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-20 08:00:00-04:00,4.22,,
2026-04-27 06:00:00-04:00,4.27,4.13,-3.32
2026-02-23 06:00:00-05:00,5.38,5.35,-0.57
2025-10-14 06:00:00-04:00,3.96,4.08,2.96
2025-07-21 06:00:00-04:00,3.95,3.81,-3.6
2025-04-28 06:00:00-04:00,4.07,4.33,6.32
2025-02-24 06:00:00-05:00,4.91,4.89,-0.37
2024-10-10 06:00:00-04:00,3.64,4.19,15.2
2024-07-18 06:00:00-04:00,3.67,4.03,9.88
2024-04-29 06:00:00-04:00,3.4,3.58,5.4
2024-02-26 06:00:00-05:00,4.4,4.48,1.91
2023-10-12 06:00:00-04:00,3.3,4.18,26.85
2023-07-24 06:00:00-04:00,3.06,3.08,0.54
2023-04-27 07:00:00-04:00,2.72,2.93,7.58
2023-02-23 07:00:00-05:00,3.97,4.43,11.49
2022-10-13 07:00:00-04:00,2.97,2.79,-6.1
2022-07-21 07:00:00-04:00,2.9,2.82,-2.8
2022-04-28 07:00:00-04:00,3.07,2.5,-18.55
2022-03-01 08:00:00-05:00,4.29,4.25,-0.9
2021-10-14 07:00:00-04:00,3.1,3.24,4.4
2021-07-22 07:00:00-04:00,2.87,3.06,6.55
2021-04-29 07:00:00-04:00,2.96,3.0,1.52
2021-02-25 07:00:00-05:00,3.9,3.46,-11.24
2020-10-08 07:00:00-04:00,2.73,2.49,-8.91
2020-07-16 07:00:00-04:00,2.28,2.99,30.92
