timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-30 08:00:00-04:00,1.51,,
2026-04-30 07:00:00-04:00,2.03,1.95,-4.14
2026-02-17 06:00:00-05:00,1.52,1.65,8.29
2025-10-30 06:00:00-04:00,2.11,2.25,6.47
2025-07-29 07:00:00-04:00,1.4,1.36,-2.81
2025-05-01 06:00:00-04:00,2.0,2.1,5.24
2025-02-13 07:00:00-05:00,1.44,1.51,4.93
2024-10-24 07:00:00-04:00,1.87,2.22,18.49
2024-07-25 06:00:00-04:00,1.23,1.43,16.73
2024-04-25 07:00:00-04:00,1.71,1.67,-2.2
2024-02-08 07:00:00-05:00,1.96,1.97,0.59
2023-11-01 06:00:00-04:00,1.64,1.44,-12.08
2023-07-27 06:00:00-04:00,0.88,0.99,12.18
2023-04-27 06:00:00-04:00,1.36,1.33,-2.45
2023-02-23 06:00:00-05:00,1.24,1.31,5.86
2022-10-27 06:00:00-04:00,1.57,1.6,1.88
2022-07-28 07:00:00-04:00,0.99,0.88,-11.48
2022-04-28 07:00:00-04:00,2.08,2.31,10.96
2022-02-10 06:00:00-05:00,0.94,1.05,11.82
2021-10-27 06:00:00-04:00,1.84,1.72,-6.3
2021-07-27 07:00:00-04:00,1.32,1.7,28.48
2021-04-27 06:00:00-04:00,2.13,2.44,14.54
2021-02-19 07:00:00-05:00,1.24,1.39,12.11
2020-10-27 07:00:00-04:00,2.06,2.61,26.46
2020-07-28 06:00:00-04:00,1.28,1.53,19.53
