timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-04 16:00:00-04:00,1.59,,
2026-05-05 16:00:00-04:00,1.09,1.04,-4.91
2026-02-17 16:00:00-05:00,0.83,0.82,-0.81
2025-11-05 16:00:00-05:00,0.94,1.04,10.56
2025-08-05 16:00:00-04:00,0.86,0.84,-2.84
2025-05-06 16:00:00-04:00,1.23,1.21,-1.46
2025-02-18 16:00:00-05:00,1.0,1.16,15.69
2024-11-05 16:00:00-05:00,1.1,1.1,0.39
2024-08-06 16:00:00-04:00,1.27,1.41,11.25
2024-05-01 16:00:00-04:00,1.11,1.16,4.17
2024-02-27 16:00:00-05:00,1.4,1.41,0.51
2023-11-07 16:00:00-05:00,1.55,1.65,6.15
2023-08-01 16:00:00-04:00,1.19,1.18,-0.72
2023-05-09 12:00:00-04:00,1.4,1.46,4.26
2023-02-14 16:00:00-05:00,1.75,1.66,-5.32
2022-11-01 16:00:00-04:00,2.13,2.18,2.38
2022-08-01 15:00:00-04:00,2.37,2.59,9.12
2022-05-02 16:00:00-04:00,1.76,1.88,6.98
2022-02-15 16:00:00-05:00,1.24,1.39,12.23
2021-11-02 16:00:00-04:00,0.93,1.08,16.47
2021-08-03 16:00:00-04:00,0.53,0.6,13.7
2021-05-04 16:00:00-04:00,0.32,0.45,40.28
2021-02-16 16:00:00-05:00,0.03,,-100.0
2020-10-29 17:00:00-04:00,-0.1,-0.07,32.91
2020-08-04 17:00:00-04:00,-0.26,-0.18,31.98
