timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 16:00:00-04:00,0.61,,
2026-04-30 16:00:00-04:00,0.47,0.56,18.99
2026-02-12 16:00:00-05:00,0.65,0.68,4.5
2025-10-30 16:00:00-04:00,0.57,0.61,7.51
2025-07-30 16:00:00-04:00,0.44,0.48,8.25
2025-05-01 16:00:00-04:00,0.33,0.32,-2.56
2025-02-13 16:00:00-05:00,0.5,0.45,-9.87
2024-10-24 16:00:00-04:00,0.43,0.45,3.53
2024-07-25 16:00:00-04:00,0.39,0.43,11.36
2024-04-25 17:00:00-04:00,0.27,0.32,18.61
2024-02-08 16:00:00-05:00,0.43,0.5,16.01
2023-10-26 16:00:00-04:00,0.33,0.5,50.03
2023-07-27 16:00:00-04:00,0.23,0.34,50.64
2023-04-27 16:00:00-04:00,0.15,0.17,17.05
2023-02-09 16:00:00-05:00,0.28,0.34,23.06
2022-10-27 16:00:00-04:00,0.24,0.28,15.85
2022-07-28 16:00:00-04:00,0.19,0.17,-10.16
2022-04-28 16:00:00-04:00,0.13,0.08,-38.76
2022-02-10 16:00:00-05:00,0.21,0.17,-19.89
2021-10-28 16:00:00-04:00,0.16,0.22,37.81
2021-07-29 16:00:00-04:00,0.11,0.19,71.05
2021-04-29 16:00:00-04:00,0.07,0.08,14.33
2021-02-11 16:00:00-05:00,0.23,0.23,-1.57
2020-10-27 16:00:00-04:00,0.16,0.24,42.44
2020-07-28 16:00:00-04:00,0.09,0.2,118.86
