timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-28 16:00:00-04:00,0.94,,
2026-05-05 16:00:00-04:00,2.36,1.59,-32.35
2026-02-03 16:00:00-05:00,1.48,0.35,-76.4
2025-10-28 16:00:00-04:00,0.35,0.54,52.69
2025-07-29 16:00:00-04:00,0.13,0.25,97.53
2025-05-06 16:00:00-04:00,1.08,1.58,45.88
2025-02-04 16:00:00-05:00,3.08,2.83,-8.03
2024-10-29 16:00:00-04:00,0.89,1.11,24.88
2024-07-30 16:00:00-04:00,0.42,0.52,24.83
2024-05-07 16:00:00-04:00,1.52,1.18,-21.83
2024-01-30 16:00:00-05:00,0.88,1.07,21.86
2023-11-01 16:00:00-04:00,0.89,1.47,64.33
2023-08-01 16:00:00-04:00,1.02,1.01,-0.54
2023-05-09 16:00:00-04:00,1.31,1.78,35.22
2023-01-31 16:00:00-05:00,3.05,2.5,-18.08
2022-11-01 16:00:00-04:00,1.0,1.07,7.15
2022-08-02 16:00:00-04:00,0.28,0.41,44.98
2022-05-10 16:00:00-04:00,0.63,0.8,27.05
2022-02-01 16:00:00-05:00,3.24,3.17,-2.12
2021-11-03 16:00:00-04:00,1.15,1.73,50.37
2021-08-04 16:00:00-04:00,0.39,0.71,82.59
2021-05-11 16:00:00-04:00,0.28,0.26,-8.26
2021-02-02 16:00:00-05:00,0.78,0.72,-7.84
2020-11-05 16:00:00-05:00,0.39,0.63,63.09
2020-07-30 16:00:00-04:00,1.04,1.25,19.67
