timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-29 16:00:00-04:00,1.51,,
2026-04-29 16:00:00-04:00,1.58,1.66,5.03
2026-02-18 16:00:00-05:00,1.35,1.41,4.44
2025-10-29 16:00:00-04:00,1.33,1.36,1.9
2025-07-30 16:00:00-04:00,1.3,1.37,5.63
2025-04-30 16:00:00-04:00,1.34,1.38,3.19
2025-02-26 16:00:00-05:00,1.2,1.25,4.26
2024-10-30 16:00:00-04:00,1.18,1.19,0.84
2024-07-31 16:00:00-04:00,1.12,1.18,4.94
2024-05-01 16:00:00-04:00,1.2,1.25,3.98
2024-02-27 16:00:00-05:00,1.03,1.07,3.94
2023-11-07 16:00:00-05:00,1.0,1.03,3.11
2023-07-26 16:00:00-04:00,0.99,1.03,3.58
2023-04-26 16:00:00-04:00,1.07,1.11,3.56
2023-02-22 16:00:00-05:00,1.06,1.07,0.64
2022-11-02 16:00:00-04:00,0.93,1.0,7.8
2022-08-03 16:00:00-04:00,0.89,0.99,10.93
2022-05-04 16:00:00-04:00,1.03,1.05,1.45
2022-02-23 16:00:00-05:00,0.99,1.05,5.69
2021-10-27 16:00:00-04:00,0.88,0.9,1.82
2021-08-11 16:00:00-04:00,0.96,0.99,2.63
2021-04-28 16:00:00-04:00,1.07,1.09,2.13
2021-02-03 16:00:00-05:00,0.83,0.86,3.38
2020-10-28 16:00:00-04:00,0.82,0.85,4.25
2020-07-28 16:00:00-04:00,1.06,1.08,2.24
