timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-28 08:00:00-04:00,2.08,,
2026-04-28 08:00:00-04:00,1.7,1.7,0.16
2026-02-10 08:00:00-05:00,2.07,2.08,0.65
2025-10-28 08:00:00-04:00,2.07,2.07,-0.09
2025-07-29 08:00:00-04:00,1.9,1.89,-0.29
2025-04-29 08:00:00-04:00,1.5,1.5,0.05
2025-02-11 08:00:00-05:00,1.8,1.81,0.66
2024-10-29 08:00:00-04:00,1.82,1.83,0.28
2024-07-30 08:00:00-04:00,1.67,1.68,0.48
2024-04-30 07:00:00-04:00,1.33,1.34,0.49
2024-02-13 08:00:00-05:00,1.54,1.55,0.76
2023-10-31 08:00:00-04:00,1.52,1.54,1.16
2023-08-01 08:00:00-04:00,1.21,1.24,2.43
2023-05-02 08:00:00-04:00,0.86,0.88,2.24
2023-02-14 08:00:00-05:00,1.25,1.27,1.5
2022-11-01 08:00:00-04:00,1.3,1.3,-0.23
2022-07-26 08:00:00-04:00,1.09,1.1,0.89
2022-04-26 08:00:00-04:00,0.83,0.82,-0.73
2022-02-15 08:00:00-05:00,1.28,1.28,-0.12
2021-10-26 08:00:00-04:00,1.3,1.38,6.52
2021-07-27 08:00:00-04:00,1.22,1.22,0.16
2021-04-27 08:00:00-04:00,0.81,0.81,-0.57
2021-02-16 08:00:00-05:00,1.25,1.23,-1.52
2020-10-27 08:00:00-04:00,1.12,1.15,2.59
2020-07-28 08:00:00-04:00,0.75,0.65,-13.39
