timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-21 08:00:00-04:00,2.2,,
2026-04-21 06:00:00-04:00,1.7,1.86,9.7
2026-02-04 06:00:00-05:00,2.05,2.09,1.78
2025-10-21 06:00:00-04:00,1.94,2.04,5.34
2025-07-22 06:00:00-04:00,1.92,2.0,4.13
2025-04-22 06:00:00-04:00,1.4,1.53,8.98
2025-02-06 06:00:00-05:00,2.1,2.12,1.12
2024-10-16 16:00:00-04:00,1.83,1.85,0.84
2024-07-17 16:00:00-04:00,1.73,1.82,5.42
2024-04-17 16:00:00-04:00,1.43,1.5,4.9
2024-02-07 16:00:00-05:00,1.75,1.81,3.28
2023-10-18 16:00:00-04:00,1.77,1.76,-0.58
2023-07-19 16:00:00-04:00,1.66,1.71,3.01
2023-04-19 16:00:00-04:00,1.37,1.43,4.73
2023-02-08 16:00:00-05:00,1.49,1.52,2.01
2022-10-19 16:00:00-04:00,1.63,1.73,6.41
2022-07-20 16:00:00-04:00,2.0,2.09,4.38
2022-04-20 16:00:00-04:00,2.14,2.22,3.79
2022-02-09 16:00:00-05:00,1.81,1.84,1.64
2021-10-20 16:00:00-04:00,1.73,1.85,6.98
2021-07-21 16:00:00-04:00,1.72,1.98,15.44
2021-04-21 16:00:00-04:00,1.55,1.97,26.97
2021-02-10 17:00:00-05:00,1.83,2.0,9.32
2020-10-21 17:00:00-04:00,1.6,1.87,16.98
2020-07-22 16:00:00-04:00,1.3,1.6,23.13
