timestamp,eps_estimate,eps_reported,surprise_pct
2026-07-16 08:00:00-04:00,6.2,,
2026-04-22 06:00:00-04:00,10.81,12.58,16.36
2026-01-28 06:00:00-05:00,3.09,3.33,7.65
2025-10-21 06:00:00-04:00,4.94,6.03,22.01
2025-07-17 06:00:00-04:00,8.92,8.84,-0.91
2025-04-22 06:00:00-04:00,11.48,11.97,4.3
2025-01-23 06:00:00-05:00,3.85,3.84,-0.29
2024-10-17 06:00:00-04:00,9.65,8.37,-13.28
2024-07-17 06:00:00-04:00,10.01,10.12,1.14
2024-04-18 06:00:00-04:00,10.53,10.64,1.08
2024-01-24 06:00:00-05:00,5.59,5.62,0.62
2023-10-18 06:00:00-04:00,8.46,8.99,6.27
2023-07-19 06:00:00-04:00,8.78,9.04,2.95
2023-04-19 06:00:00-04:00,9.28,9.46,1.97
2023-01-25 06:00:00-05:00,5.19,5.23,0.75
2022-10-19 06:00:00-04:00,7.15,7.53,5.29
2022-07-20 06:00:00-04:00,7.74,8.04,3.84
2022-04-20 06:00:00-04:00,7.83,8.25,5.4
2022-01-26 06:00:00-05:00,5.12,5.14,0.48
2021-10-20 06:00:00-04:00,6.37,6.79,6.65
2021-07-21 06:00:00-04:00,6.34,7.03,10.86
2021-04-21 06:00:00-04:00,6.47,7.01,8.34
2021-01-27 06:00:00-05:00,2.53,2.54,0.53
2020-10-28 06:00:00-04:00,4.18,4.2,0.55
2020-07-29 06:00:00-04:00,8.58,9.2,7.27
