timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-05 16:00:00-04:00,1.67,,
2026-05-05 16:00:00-04:00,1.53,1.54,0.44
2026-02-03 16:00:00-05:00,1.41,1.46,3.39
2025-11-05 06:00:00-05:00,1.62,1.62,0.28
2025-08-06 06:00:00-04:00,1.51,1.52,0.69
2025-05-07 06:00:00-04:00,1.41,1.48,4.6
2025-02-05 06:00:00-05:00,1.28,1.38,8.03
2024-11-05 06:00:00-05:00,1.47,1.48,0.69
2024-08-07 06:00:00-04:00,1.41,1.43,1.12
2024-05-08 06:00:00-04:00,1.25,1.36,8.47
2024-02-07 06:00:00-05:00,1.04,1.22,17.09
2023-11-07 06:00:00-05:00,1.31,1.29,-1.37
2023-08-02 06:00:00-04:00,1.1,1.29,16.92
2023-05-03 06:00:00-04:00,0.97,1.09,12.18
2023-02-08 06:00:00-05:00,0.87,0.78,-10.61
2022-10-31 06:00:00-04:00,1.39,1.53,10.01
2022-08-09 06:00:00-04:00,1.29,1.38,6.66
2022-05-04 06:00:00-04:00,1.18,1.29,9.61
2022-02-02 06:00:00-05:00,1.01,1.05,4.35
2021-11-03 06:00:00-04:00,1.18,1.21,2.55
2021-08-04 06:00:00-04:00,0.97,1.09,11.91
2021-05-05 06:00:00-04:00,0.9,0.97,7.62
2021-02-02 07:00:00-05:00,0.68,0.83,22.01
2020-11-03 06:00:00-05:00,0.94,1.1,16.58
2020-08-04 06:00:00-04:00,0.59,0.8,35.99
