timestamp,eps_estimate,eps_reported,surprise_pct
2026-08-04 16:00:00-04:00,5.02,,
2026-05-05 16:00:00-04:00,3.21,3.41,6.22
2026-02-24 16:00:00-05:00,2.2,2.27,3.38
2025-11-06 16:00:00-05:00,2.45,2.71,10.77
2025-08-07 16:00:00-04:00,2.2,2.32,5.23
2025-05-01 16:00:00-04:00,2.77,2.87,3.54
2025-02-27 16:00:00-05:00,2.57,2.74,6.79
2024-11-07 16:00:00-05:00,2.77,2.89,4.19
2024-08-01 16:00:00-04:00,2.95,3.16,7.04
2024-05-02 16:00:00-04:00,2.7,2.82,4.38
2024-02-22 16:00:00-05:00,3.11,3.07,-1.42
2023-11-02 16:00:00-04:00,2.99,3.44,15.1
2023-08-03 16:00:00-04:00,2.33,2.49,6.82
2023-05-04 16:00:00-04:00,2.49,2.69,8.08
2023-02-23 16:00:00-05:00,3.4,3.3,-3.04
2022-11-03 16:00:00-04:00,3.75,3.71,-1.05
2022-08-04 16:00:00-04:00,2.79,2.74,-1.8
2022-05-05 16:00:00-04:00,3.69,4.0,8.49
2022-02-24 16:00:00-05:00,3.17,3.09,-2.56
2021-11-04 16:00:00-04:00,2.04,2.16,5.68
2021-08-04 16:00:00-04:00,1.55,1.73,11.48
2021-05-06 16:00:00-04:00,1.51,1.62,7.11
2021-02-25 16:00:00-05:00,0.36,0.71,95.17
2020-11-05 16:00:00-05:00,0.18,0.43,133.82
2020-08-06 16:00:00-04:00,-0.08,-0.23,-189.78
